title,year,director,screenwriter,actors,type,summary,runtime,pubtime,country,language,scoreNum,score,star5,star4,star3,star2,star1,smallCommentNum,longCommentNum,posterurl
守望 El acompañante,2015.0,Pavel Giroud,亚历杭德罗·布鲁格斯/Pierre Edelman,Camila Arteche/Armando Miguel Gómez/Broselianda Hernández/Yotuel Romero/Jazz Vilá,剧情,,104分钟,2016-04-30(美国)," 古巴 / 西班牙"," 西班牙语",109.0,6.3,3.9%,22.1%,59.7%,14.3%,0.0%,43,0.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2335521619.jpg
猎犬强盗 The Bandit Hound,2016.0,Michelle Danner,Judd Nelson/Catherine Bell/Lou Ferrigno/Nicholas Alexander,Judd Nelson/Catherine Bell/Lou Ferrigno/Nicholas Alexander,喜剧/家庭,A lovable dog named Bandit starts stealing cash to help his adopted family， he unwittingly sets them on a collision course with his dangerous ex-partner.,,2016-04-12(美国)," 美国",,90.0,6.3,8.2%,21.9%,50.7%,16.4%,2.7%,27,0.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2214545258.jpg
雪崩行动 Operation Avalanche,2016.0,马特·约翰逊,乔希·博尔斯/马特·约翰逊,马特·约翰逊/欧文·威廉姆斯/乔希·博尔斯/贾里德·拉伯/克里斯塔·麦迪逊/乔·托马斯/汤姆·博尔顿/莎伦·贝尔/克里斯·冈萨维斯/萨曼莎·米歇尔,喜剧/惊悚,1967 年，四位 CIA 探員以拍攝紀錄片的名義，欲揭穿 NASA 阿波羅計畫，卻意外將自己一步步推向凶險的邊際。「阿波羅登月」被認為是美國最大的陰謀之一，不少人相信阿姆斯壯根本沒有踏上月球，導演以偽紀錄片形式讓觀眾親臨這段爭議歷史，更將正在拍《2001 太空漫遊》的庫柏力克也拉進陰謀論的說法裡。玩弄真實與虛構的界線，暗藏對冷戰時期的嘲諷。,94分钟,2016-01-22(圣丹斯电影节)/2016-09-16(美国)," 美国"," 英语",1228.0,6.3,6.3%,23.9%,50.8%,14.6%,4.4%,377,3.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2308683028.jpg
加速世界：无限超频 アクセル・ワールド インフィニット・バースト,2016.0,小原正和,川原砾/吉野弘幸,三泽纱千香/梶裕贵/丰崎爱生/浅沼晋太郎/远藤绫/植田佳奈/原由实/日高里菜/川澄绫子/铃村健一/赤崎千夏/悠木碧/黑田崇矢/柳泽健次/野坂尚也/大龟明日香/小堀幸/樱井孝宏/水桥香织/石田彰/古贺葵/野上尤加奈,动画,,82分钟,2016-07-23(日本)," 日本"," 日语",1038.0,6.2,10.1%,18.1%,49.3%,18.5%,4.0%,220,1.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2371504822.jpg
最坏的一天 최악의 하루,2016.0,金宗宽,金宗宽,韩艺璃/岩瀬亮/李熙俊/权律,爱情,《最坏的女人》讲述的是每次面对不同的男人都会改变自己形象的女人的故事，在同一时期和三个不同的男人见面而引发的混乱爱情故事。《宝丽莱的使用方法》、《再近一点》的导演金钟观执导。,93分钟,2016-08-25(韩国)," 韩国"," 韩语",804.0,6.2,5.9%,25.0%,49.6%,14.3%,5.2%,310,5.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2366699070.jpg
暗房秘密 Le secret de la chambre noire,2016.0,黑泽清,黑泽清/凯瑟琳·派勒,塔哈·拉希姆/康斯坦丝·卢梭/奥利维埃·古尔梅/马修·阿马立克/马立克·兹迪/托马斯·库芒,剧情/惊悚/奇幻,《底片上的女人》是一部由日本惊悚悬疑大师黑泽清首次执导的外语片，该片于2016年秋季在日本全国上映，影片《底片上的女人》聚焦1893年发明银板照相法的摄影技巧这一主题的惊悚爱情故事。因一件小事而成为摄影家斯蒂芬学徒的让，对同家的女儿玛丽产生情愫。随后，为了不重蹈在屋中上 吊自杀的斯蒂芬妻子多尼斯的覆辙，让带着钟爱的玛丽准备逃出屋外,131分钟,2016-09-11(多伦多电影节)/2016-10-15(日本)," 法国 / 日本 / 比利时"," 法语",688.0,6.2,5.4%,26.8%,47.1%,15.0%,5.6%,279,6.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2409395021.jpg
杀儿凶手 Im Namen meines Sohnes,2016.0,Damir Lukacevic,Damir Lukacevic,托比亚斯·莫雷蒂/英卡·芙德瑞/马克西姆·梅米特,剧情,20年來，一名連續殺人犯每隔三年就殺害一名男孩。警方辦案不力，其中一名受害者的父親決心親自找出帶面具的兇手，即使犧牲自己婚姻和另一個兒子的愛也在所不惜。根據真實故事改編。,89分钟,2016-05-02," 德国"," 德语",308.0,6.2,5.2%,18.3%,58.7%,15.2%,2.6%,84,2.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2508237257.jpg
她的眼光,2016.0,陈剑莹,陈剑莹,Kathleen Burke/Elodie Di Palo Burrone,,Cici和Sara是一对女同恋人。 Cici 是一个男孩子气的高中女孩。 Sara是一个音乐专业的大学生。两人在一起三年了，但Sara一直不愿意将两人的关系公开。Cici十分受伤，Sara也心生愧疚，向Cici提出分手。不仅是恋人Sara，Cici的家人也将Cici“藏 起来”，不愿男孩子打扮的她出现在外人面前，甚至连祖母的葬礼都不允许Cici出席。已经跟Cici分手的Sara为了安慰Cici专程赶到Cici祖母的葬礼，却没有找到她……,19分钟,2016-05," 中国大陆"," 英语",307.0,6.2,6.4%,23.6%,47.6%,16.3%,6.0%,90,1.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2339467297.jpg
疯狂 Madly,2016.0,盖尔·加西亚·贝纳尔/米娅·华希科沃斯卡/塞巴斯蒂安·席尔瓦/Natasha Khan/阿努拉格·卡施亚普/园子温/Niclas Larsson,阿努拉格·卡施亚普/米娅·华希科沃斯卡/塞巴斯蒂安·席尔瓦/园子温/盖尔·加西亚·贝纳尔/Natasha Khan/Niclas Larsson,拉迪卡·艾普特/凯瑟琳•贝克/Tamsin Topolski/Justina Bustos/Satyadeep Misra/富手麻妙/樱井由纪/筒井真理子/Adarsh Gourav/诹访太朗/Pablo Seijo/Lex Santos,剧情/爱情,,105分钟,2016-04-14(美国)," 美国 / 英国 / 印度 / 澳大利亚 / 阿根廷 / 日本"," 英语 / 西班牙语 / 日语 / 印地语",221.0,6.2,2.9%,20.6%,63.4%,12.0%,1.1%,73,2.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2291670153.jpg
饥饿艺术家 断食芸人,2016.0,足立正生,弗兰茨·卡夫卡/足立正生,山本浩司/桜井大造/流山児祥/伊藤弘子/井端珠里/吉増剛造/和田周/川本三吉/本多章一/安部田宇観/愛奏/岩間天嗣/田口智朗,剧情,根据卡夫卡的同名短篇小说改编，描述了一个“痴迷”饥饿艺术的表演者，从其风靡全城的荣光到被人厌弃的落漠，始终不被真正理解而孤寂痛苦直至无声死去的过程。足立正生是日本著名的左翼导演，在学生时代自主拍摄了《锁阴》一片而引人注目。大学退学后，他加入了著名导演若松孝二的独立公司，编写了以性与革命为主题的大量剧本，1966年首次执导商业性影片《堕胎》。足立正生一直以来其实验性的风格和大胆的作风都时常被大众讨论，此次的题材也一如既往的充满想法。,104分钟,2016-02-27(日本)," 日本 / 韩国"," 日语",189.0,6.2,4.9%,29.6%,42.3%,16.2%,7.0%,81,2.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2301543794.jpg
