title,year,director,screenwriter,actors,type,summary,runtime,pubtime,country,language,scoreNum,score,star5,star4,star3,star2,star1,smallCommentNum,longCommentNum,posterurl
疯狂动物城 Zootopia,2016.0,拜伦·霍华德/瑞奇·摩尔/杰拉德·布什,拜伦·霍华德/瑞奇·摩尔/杰拉德·布什/吉姆·里尔顿/乔西·特立尼达/菲尔·约翰斯顿/珍妮弗·李,金妮弗·古德温/杰森·贝特曼/伊德里斯·艾尔巴/珍妮·斯蕾特/内特·托伦斯/邦尼·亨特/唐·雷克/汤米·钟/J·K·西蒙斯/奥克塔维亚·斯宾瑟/艾伦·图代克/夏奇拉/雷蒙德·S·佩尔西/德拉·萨巴/莫里斯·拉马奇/菲尔·约翰斯顿/约翰·迪·马吉欧/凯蒂·洛斯/吉塔·雷迪/杰西·科尔蒂/汤米·利斯特/乔希·达拉斯/瑞奇·摩尔/凯斯·索西/彼得·曼斯布里奇/拜伦·霍华德/杰拉德·布什/马克·史密斯/乔西·特立尼达/约翰·拉维尔/克里斯汀·贝尔/吉尔·科德斯/梅利莎·古德温,喜剧/动画/冒险,故事发生在一个所有哺乳类动物和谐共存的美好世界中，兔子朱迪（金妮弗·古德温 Ginnifer Goodwin 配音）从小就梦想着能够成为一名惩恶扬善的刑警，凭借着智慧和努力，朱迪成功的从警校中毕业进入了疯狂动物城警察局，殊不知这里是大型肉食类动物的领地，作为第一只，也是唯一的小型食草类动物，朱迪会遇到怎样的故事呢？,109分钟(中国大陆),2016-03-04(中国大陆/美国)/2020-07-24(中国大陆重映)," 美国"," 英语 / 挪威语",1357539.0,9.2,64.5%,30.4%,4.9%,0.2%,0.1%,252897,3724.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614500649.jpg
你的名字。 君の名は。,2016.0,新海诚,新海诚,神木隆之介/上白石萌音/长泽雅美/市原悦子/成田凌/悠木碧/岛崎信长/石川界人/谷花音/寺杣昌纪/大原沙耶香/井上和彦/茶风林/加藤有花/花泽香菜/寺崎裕香,剧情/爱情/动画,在远离大都会的小山村，住着巫女世家出身的高中女孩宫水三叶（上白石萌音 配音）。校园和家庭的原因本就让她充满烦恼，而近一段时间发生的奇怪事件，又让三叶摸不清头脑。不知从何时起，三叶在梦中就会变成一个住在东京的高中男孩。那里有陌生的同学和朋友，有亲切的前辈和繁华的街道，一切都是如此诱人而真实。另一方面，住在东京的高中男孩立花泷（神木隆之介 配音）则总在梦里来到陌生的小山村，以女孩子的身份过着全新的生活。许是受那颗神秘彗星的影响，立花和三叶在梦中交换了身份。他们以他者的角度体验着对方的人生，这期间有愤怒、有欢笑也有暖心。只是两人并不知道，身份交换的背后隐藏着重大而锥心的秘密……,106分钟,2016-12-02(中国大陆)/2016-08-26(日本)," 日本"," 日语",1026552.0,8.4,42.6%,39.0%,16.3%,1.6%,0.4%,241780,6067.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2395733377.jpg
摔跤吧！爸爸 Dangal,2016.0,涅提·蒂瓦里,比于什·古普塔/施热亚·简/尼基尔·麦罗特拉/涅提·蒂瓦里,阿米尔·汗/法缇玛·萨那·纱卡/桑亚·玛荷塔/阿帕尔夏克提·库拉那/沙克希·坦沃/塞伊拉·沃西/苏哈妮·巴特纳格尔/里特维克·萨霍里/吉里什·库卡尼,剧情/家庭/传记/运动,马哈维亚（阿米尔·汗 Aamir Khan 饰）曾经是一名前途无量的摔跤运动员，在放弃了职业生涯后，他最大的遗憾就是没有能够替国家赢得金牌。马哈维亚将这份希望寄托在了尚未出生的儿子身上，哪知道妻子接连给他生了两个女儿，取名吉塔（法缇玛·萨那·纱卡 Fatima Sana Shaikh 饰）和巴比塔（桑亚·玛荷塔 Sanya Malhotra 饰）。让马哈维亚没有想到的是，两个姑娘展现出了杰出的摔跤天赋，让他幡然醒悟，就算是女孩，也能够昂首挺胸的站在比赛场上，为了国家和她们自己赢得荣誉。,161分钟(印度),2017-05-05(中国大陆)/2016-12-23(印度)," 印度"," 印地语",1167540.0,9.0,59.2%,33.7%,6.5%,0.4%,0.1%,232658,8267.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2457983084.jpg
釜山行 부산행,2016.0,延尚昊,延尚昊,孔侑/郑有美/马东锡/金秀安/金义城/崔宇植/安昭熙/崔奎华/郑锡勇/艺秀晶/朴明申/张赫镇/禹都临/沈恩京,动作/惊悚/灾难,证券公司基金管理人石宇（孔侑 饰）光鲜精干，却也是个重利轻义之徒。妻子为此与之决裂，女儿秀安（金秀安 饰）则对如此自私的父亲越来越失望，决定前往釜山和母亲生活。在秀安生日这天，石宇抽出时间陪伴女儿登上开往釜山的特快列车。而与此同时，城市四处出现了极为可疑的暴动事件。政府极力洗白无法掩盖丧尸肆虐的事实，即便懵然无知的列车乘客也因为不速之客的到来而堕入恐慌绝望的地狱中。开车的刹那，一名感染者冲入车厢，而她很快尸变并对目光所及之处的健康人展开血腥屠杀。未过多久，丧尸便呈几何数爆发性地增长。石宇被迫和幸存者的乘客们在逼仄的空间中奋力求生。,118分钟,2016-05-13(戛纳电影节)/2016-07-20(韩国)," 韩国"," 韩语",849297.0,8.5,41.4%,45.4%,11.9%,1.0%,0.3%,183233,4469.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2360940399.jpg
看不见的客人 Contratiempo,2016.0,奥里奥尔·保罗,奥里奥尔·保罗,马里奥·卡萨斯/阿娜·瓦格纳/何塞·科罗纳多/巴巴拉·莱涅/弗兰塞斯克·奥雷利亚/帕科·图斯/大卫·塞尔瓦斯/伊尼戈·加斯特西/圣·耶拉莫斯/马内尔·杜维索/布兰卡·马丁内斯/佩雷·布拉索/霍尔迪·布鲁内特/鲍比·冈萨雷斯/玛蒂娜·乌尔塔多,剧情/悬疑/惊悚/犯罪,艾德里安（马里奥·卡萨斯 Mario Casas 饰）经营着一间科技公司，事业蒸蒸日上，家中有美丽贤惠的妻子和活泼可爱的女儿，事业家庭双丰收的他是旁人羡慕的对象。然而，野心勃勃的艾德里安并未珍惜眼前来之不易的生活，一直以来，他和一位名叫劳拉（芭芭拉·蓝妮 Bárbara Lennie 饰）的女摄影师保持着肉体关系。,106分钟,2017-09-15(中国大陆)/2016-09-23(奇幻电影节)/2017-01-06(西班牙)," 西班牙"," 西班牙语",871774.0,8.8,48.9%,42.0%,8.5%,0.4%,0.1%,199247,2627.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg
驴得水,2016.0,周申/刘露,周申/刘露,任素汐/大力/刘帅良/裴魁山/阿如那/韩彦博/卜冠今/王堃/高阳/苏千越/麦亚瑟/王峰,剧情/喜剧,一群“品行不端”却怀揣教育梦想的大学教师，从大城市来到偏远乡村开办了一所小学校。学校待遇惨淡、生活艰苦，但老师们都自得其乐，每天嘻嘻哈哈打成一片。然而教育部特派员要来突击检查的消息打破了安宁，因为学校有一位“驴得水老师”隐藏着不可告人的秘密。就在所有人都担心丑事即将败露的时候，一个神奇天才的出现拯救了大家，然而谁能料到真正的麻烦才刚刚开始……,111分钟,2016-10-28(中国大陆)," 中国大陆"," 汉语普通话",686445.0,8.3,38.8%,43.5%,14.5%,2.3%,0.8%,166380,6700.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2393044761.jpg
奇异博士 Doctor Strange,2016.0,斯科特·德瑞克森,史蒂夫·迪特寇/托马斯·迪恩·唐纳利/斯坦·李/乔·斯派茨/约书亚·奥本海默,本尼迪克特·康伯巴奇/蒂尔达·斯文顿/麦斯·米科尔森/切瓦特·埃加福/瑞秋·麦克亚当斯/迈克尔·斯图巴/本尼迪克特·王/本杰明·布拉特/斯科特·阿金斯/莎拉·费希恩/阿拉·萨菲,动作/奇幻/冒险,斯特兰奇博士（本尼迪克特·康伯巴奇 Benedict Cumberbatch 饰）是一名外科手术医生，他拥有着高超的智商和精湛的技艺，是医院乃至整个医学界的传奇人物。某一日，斯特兰奇博士遭遇了一场可怕的车祸，尽管保住了双手，但这双手伤痕累累不住颤抖，这也就意味着，他再也不能拿起手术刀，站在无影灯下了。,115分钟,2016-11-04(中国大陆/美国)/2016-10-25(英国)," 美国"," 英语",478074.0,7.6,19.0%,47.6%,29.8%,3.1%,0.5%,110554,1274.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2388501883.jpg
美人鱼,2016.0,周星驰,周星驰/李思臻/何妙祺/卢正雨/冯志强/陈庆嘉/江玉仪/曾瑾昌,邓超/罗志祥/张雨绮/林允/徐克/吴亦凡/李尚正/卢正雨/白客/孔连顺/田启文/文章/杨能/张美娥/李叶青/林子聪/赵志凌/郑冀峰/钱国伟/范淑珍/艾文·科蒂克/松冈李那/徐轸轸/夏尉喻/皮埃尔·布迪厄/孙嘉灵/许雅婷/赵靖伊/付骏福/虞嘉娜/宁小花/易志乐/孙乐天,喜剧/爱情/奇幻,白手起家的富豪刘轩（邓超 饰）新拍下了一块地皮，并联合了女强人李若兰（张雨绮 饰）使用恐怖的声纳技术驱赶鱼类，用于填海造地。人鱼一族长期居住在附近区域的海里，为了继续生存，带头大哥章鱼八哥（罗志祥 饰）派出了美人鱼珊珊（林允 饰）“色诱”刘轩，准备刺杀。没想到珊珊在卧底过程中与刘轩暗生情愫，一次次破坏暗杀计划，而李若兰却在准备一个更丧心病狂的邪恶计划……,93分钟,2016-02-08(中国大陆/中国香港)," 中国大陆 / 中国香港"," 汉语普通话 / 英语 / 日语",658093.0,6.7,12.8%,29.0%,41.9%,12.2%,4.2%,179923,5587.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2316177058.jpg
大鱼海棠,2016.0,梁旋/张春,梁旋,季冠霖/苏尚卿/许魏洲/金士杰/杨婷/潘淑兰/九儿/王德顺/张媛媛/薛立方/姜广涛/张杰/马正阳/宝木中阳/刘校妤,剧情/动画/奇幻,所有活着的人类，都是海里一条巨大的鱼；出生的时候他们从海的此岸出发。他们的生命就像横越大海，有时相遇，有时分开……死的时候，他们便到了岸，各去各的世界。,105分钟,2016-07-08(中国大陆)," 中国大陆"," 汉语普通话",425053.0,6.9,16.7%,30.7%,36.4%,11.4%,4.7%,148326,9410.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2361744534.jpg
美国队长3 Captain America: Civil War,2016.0,安东尼·罗素/乔·罗素,克里斯托弗·马库斯/斯蒂芬·麦克菲利/杰克·科比/乔·西蒙,克里斯·埃文斯/小罗伯特·唐尼/斯嘉丽·约翰逊/塞巴斯蒂安·斯坦/安东尼·麦凯/唐·钱德尔/杰瑞米·雷纳/查德维克·博斯曼/保罗·贝坦尼/伊丽莎白·奥尔森/保罗·路德/艾米丽·万凯普/汤姆·赫兰德/丹尼尔·布鲁赫/弗兰克·格里罗/威廉·赫特/马丁·弗瑞曼/霍普·戴维斯/玛丽莎·托梅/吉姆·拉什/金世佳,动作/科幻/冒险,美国队长史蒂夫·罗杰斯（克里斯·埃文斯 Chris Evans 饰）带领着全新组建的复仇者联盟，继续维护世界和平。然而，一次执行任务时联盟成员不小心造成大量平民伤亡，从而激发政治压力，政府决定通过一套监管系统来管理和领导复仇者联盟。联盟内部因此分裂为两派：一方由史蒂夫· 罗杰斯领导，他主张维护成员自由，在免受政府干扰的情况下保护世界；另一方则追随托尼·斯塔克（小罗伯特·唐尼 Robert Downey Jr. 饰），他令人意外地决定支持政府的监管和责任制体系。神秘莫测的巴基（塞巴斯蒂安·斯坦 Sebastian Stan 饰）似乎成为内战的关键人物……,148分钟(中国大陆),2016-05-06(中国大陆/美国)/2016-04-12(加州首映)," 美国"," 科萨语 / 英语 / 德语 / 俄语 / 罗马尼亚语",393414.0,7.9,26.4%,45.0%,24.6%,2.9%,1.0%,90268,1848.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2332503406.jpg
血战钢锯岭 Hacksaw Ridge,2016.0,梅尔·吉布森,安德鲁·奈特/罗伯特·申坎,安德鲁·加菲尔德/萨姆·沃辛顿/文斯·沃恩/雨果·维文/卢克·布雷西/泰莉莎·帕尔墨/瑞切尔·格里菲斯/内森奈尔·布佐里克/理查德·劳斯伯格/马特·纳夫莱/费拉斯·迪拉尼/瑞安·柯尔/卢克·佩格勒,剧情/传记/历史/战争,1945年，第二次世界大战接近尾声，作为邪恶轴心重要成员的日本，其嚣张态势已成强弩之末。是年，决定战局走向的冲绳岛战役拉开序幕，成千上万斗志昂扬的美国大兵被派往冲绳，等待他们的则是敌军重兵防守、凶险异常的钢锯岭。在这群人中间，却有一个不愿拿起武器的军医。他名叫戴斯蒙德·道斯（安德鲁·加菲尔德 Andrew Garfield 饰），来自美国的弗吉尼亚。太平洋爆发之际，瘦弱的戴斯蒙德志愿成为救死扶伤的军医而应征入伍。可因童年和家庭的原因，他始终不愿拿起枪支操练，为此宁愿背上拒服兵役的罪名被送上军事法庭。几经周折，戴斯蒙德最终和战友来到了钢锯岭。枪林弹雨，转瞬之间无数人应声倒地。在信仰和信念的支持下，戴斯蒙德仅凭一己之力拯救了数十条濒死的生命……,139分钟(中国大陆),2016-12-08(中国大陆)/2016-09-04(威尼斯电影节)/2016-11-04(美国)," 美国 / 澳大利亚"," 英语",597071.0,8.7,46.1%,42.1%,10.7%,0.8%,0.2%,135052,4019.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2398141939.jpg
湄公河行动,2016.0,林超贤,林超贤/朱镜祺/刘小群/谭惠贞/林明杰,张涵予/彭于晏/孙淳/陈宝国/冯文娟/刘显达/赵健/吴旭东/吴嘉龙/卢惠光/柏华力·莫高彼斯彻/维他亚·潘斯林加姆/战立国/石占杰/伍麟凯/魏蔓/李佳璇/郝文婷/王笑龙/任蕊,剧情/动作/犯罪,金三角湄公河上，一处被称为“鬼门关”的河段，两艘来自中国的商船遭到不明身份之人的枪击袭击。未过多久，泰国军方召开新闻发布会，指责中国商船贩卖毒品。虽然发布会宣称船员全部逃亡，但是十三具遭受残忍杀害的中国船员尸体很快被人发现。这起胆大妄为的案件令中国警方大为震惊，云南省缉毒总队队长高刚（张涵予 饰）受命带特别行动小组前往泰国，并与情报员方新武（彭于晏 饰）合作接洽。根据现有资料显示，这件案子由盘踞在金三角的大毒枭糯卡所为。糯卡贪婪残忍，胆大包天，是湄公河流域上一颗惊扰运输安全的毒瘤。为了将这个恶棍绳之于法，中国、老挝、缅甸开展了三国联合巡逻，集中对糯卡的制毒窝点进行扫荡。而高刚等人也深入最危险境地，与丧失人性的贩毒分子进行惨烈对决……,124分钟,2016-09-30(中国大陆)/2020-07-24(中国大陆重映)," 中国大陆 / 中国香港"," 汉语普通话 / 粤语 / 泰语 / 缅甸语 / 英语",587947.0,8.0,27.8%,46.8%,22.1%,2.6%,0.6%,139071,2309.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2380677316.jpg
七月与安生,2016.0,曾国祥,林咏琛/李媛/许伊萌/吴楠,周冬雨/马思纯/李程彬/李萍/蔡纲/蒙亭宜/沙全泽/姚欣言/李昊芳/蒋亭轩,剧情/爱情,七月（马思纯 饰）和安生（周冬雨 饰）的第一次相识在十三岁，她们一个是特立独行飞扬跋扈的“野孩子”，一个是单纯温婉循规蹈矩的“乖乖女”，从那一年开始，七月和安生几乎形影不离，她是她的光，她是她的影子，直到某一天，一位名为苏家明（李程彬 饰）的少年出现在了七月的身边，七月恋爱了。,109分钟,2016-09-14(中国大陆)/2016-10-27(中国香港)," 中国大陆 / 中国香港"," 汉语普通话",509986.0,7.6,18.5%,48.1%,29.0%,3.5%,0.9%,130254,5141.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2378140502.jpg
爱乐之城 La La Land,2016.0,达米恩·查泽雷,达米恩·查泽雷,瑞恩·高斯林/艾玛·斯通/约翰·传奇/罗丝玛丽·德薇特/芬·维特洛克/杰西卡·罗德/水野索诺娅/考莉·埃尔南德斯/J·K·西蒙斯/汤姆·艾弗瑞特·斯科特/米根·费伊/达蒙·冈普顿/贾森·福克斯/乔什·平茨/艾米·科恩/特里·沃尔特斯/汤姆·谢尔顿/辛达·亚当斯/克劳丁·克劳迪奥/D·A·瓦拉赫/特雷弗·里斯奥尔/奥莉维亚·汉密尔顿/安娜·查泽雷/马里乌斯·代·弗里斯/妮科尔·库隆/迈尔斯·安德森/约翰·辛德曼/瓦拉里·雷·米勒/基夫·范登·霍伊维尔/佐伊·霍尔/登普西·帕皮恩/辛德拉·车,剧情/爱情/歌舞,米娅（艾玛·斯通 Emma Stone 饰）渴望成为一名演员，但至今她仍旧只是片场咖啡厅里的一名平凡的咖啡师，尽管不停的参加着大大小小的试镜，但米娅收获的只有失败。某日，在一场派对之中，米娅邂逅了名为塞巴斯汀（瑞恩·高斯林 Ryan Gosling 饰）的男子，起初两人之间产生了小小的矛盾，但很快，米娅便被塞巴斯汀身上闪耀的才华以及他对爵士乐的纯粹追求所吸引，最终两人走到了一起。,128分钟,2017-02-14(中国大陆)/2016-08-31(威尼斯电影节)/2016-12-25(美国)," 美国"," 英语",616357.0,8.4,41.6%,38.7%,16.8%,2.3%,0.6%,192634,7920.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2395517414.jpg
死侍 Deadpool,2016.0,蒂姆·米勒,瑞特·里斯/保罗·韦尼克/法比安·尼切扎/罗伯·莱菲尔德,瑞恩·雷诺兹/莫蕾娜·巴卡琳/艾德·斯克林/T·J·米勒/吉娜·卡拉诺/布里安娜·希德布兰德/斯蒂芬·卡皮契奇/莱斯利·格塞斯/杰德·瑞斯/卡兰·索尼/斯坦·李/兰德尔·瑞德/小伊萨克·C.辛格尔顿,喜剧/动作/科幻/冒险,油嘴滑舌的雇佣兵韦德·威尔森（瑞恩·雷诺兹 Ryan Reynolds 饰）与俏皮可爱的瓦内莎（莫蕾娜·巴卡林 Morena Baccarin 饰）邂逅，但在爱情最美满的时刻，他被诊断患有晚期癌症，留在世上的时间所剩无几。极度绝望之际，他接受了弗朗西斯（艾德·斯克林 Ed Skrein 饰）私人组织的邀请，对其基因做了改造，以谋求体能的突变。在忍受了一系列的残酷折磨后，韦德终于治好了癌症，蜕变成拥有不死之身的超级战士，但是代价却是失去了人类的面容。,108分钟,2016-02-12(美国)," 美国 / 加拿大"," 英语",368662.0,7.8,22.5%,47.4%,27.0%,2.6%,0.5%,68891,283.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2309264172.jpg
神奇动物在哪里 Fantastic Beasts and Where to Find Them,2016.0,大卫·叶茨,J·K·罗琳,埃迪·雷德梅恩/凯瑟琳·沃特斯顿/丹·福勒/艾莉森·萨多尔/科林·法瑞尔/埃兹拉·米勒/朗·普尔曼/强·沃特/萨曼莎·莫顿/嘉玛·陈/卡门·艾乔戈/克里斯汀·马扎诺/詹·穆瑞/约翰尼·德普,剧情/奇幻/冒险,,133分钟,2016-11-25(中国大陆)/2016-11-18(美国/英国)," 英国 / 美国"," 英语",476927.0,7.8,23.9%,44.9%,27.4%,3.2%,0.5%,114662,1601.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2392444121.jpg
从你的全世界路过,2016.0,张一白,张嘉佳,邓超/白百何/杨洋/张天爱/岳云鹏/杜鹃/柳岩/廖学秋/曹卫宇/汪启楠/安韩瑾/潘肖/曹涤非/朱红/刘乐思/蓝可/梁超/张爱钦/张美娥,喜剧/爱情,陈末（邓超 饰）被称为全城最贱，每天和王牌DJ小容（杜鹃 饰）针锋相对，谁也不知道他们的仇恨从何而来。陈末的两个兄弟，分别是全城最傻的猪头（岳云鹏 饰），全城最纯的茅十八（杨洋 饰），三人每天横冲直撞，以为可以自在生活，结果都面临人生最大的转折点。陈末相遇了最神秘的幺鸡（张天爱 饰），猪头打造了最惨烈的婚礼，茅十八经历了最悲伤的别离，这群人的生活一点点崩塌，往事一点点揭开。梦想，爱情，友情都离陈末远去。一个失去所有的人，已经弄丢自己的路，直到听到来自全世界的一段语音……,113分钟,2016-09-29(中国大陆)," 中国大陆"," 汉语普通话",269374.0,5.3,5.4%,13.3%,36.6%,28.5%,16.1%,84797,3742.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2382076389.jpg
功夫熊猫3 Kung Fu Panda 3,2016.0,吕寅荣/亚历山德罗·卡罗尼,乔纳森·阿贝尔/格伦·伯杰,杰克·布莱克/布莱恩·科兰斯顿/达斯汀·霍夫曼/安吉丽娜·朱莉/J·K·西蒙斯/成龙/塞斯·罗根/刘玉玲/大卫·克罗斯/凯特·哈德森/吴汉章/兰德尔·杜克·金/尚格·云顿/斯蒂尔·加尼翁/利亚姆·奈特/韦恩·奈特/芭芭拉·迪里克森/阿尔·罗克/威利·盖斯特/弗雷德·塔特西奥/迈克·米切尔/凯莉·库尼/斯蒂芬·凯林/米克·温格特/蔡明昊/艾普尔·洪/帕克斯·朱莉-皮特/诺克斯·朱莉-皮特/扎哈拉·朱莉-皮特/希洛·朱莉-皮特,喜剧/动作/动画/冒险,,95分钟,2016-01-29(美国/中国大陆)," 美国 / 中国大陆"," 英语",293973.0,7.7,20.7%,47.4%,28.9%,2.6%,0.4%,60976,718.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2306653420.jpg
惊天魔盗团2 Now You See Me 2,2016.0,朱浩伟,艾德·索罗门/彼得·基亚雷利/鲍兹·亚金/爱德华·里科,杰西·艾森伯格/马克·鲁弗洛/伍迪·哈里森/戴夫·弗兰科/丹尼尔·雷德克里夫/丽兹·卡潘/周杰伦/桑娜·莱瑟/迈克尔·凯恩/摩根·弗里曼/大卫·沃肖夫斯基/周采芹/理查德·莱恩/亨利·劳埃德-休斯,剧情/悬疑/犯罪,四骑士重新聚首，借一场大秀意图揭穿一位科技大亨的不义之举，不料行动失败。同时，他们背后的支持者迪伦（马克·鲁法洛饰）自己也深陷危机。幕后黑手正是科学奇才沃尔特（丹尼尔·雷德克里夫饰），他胁迫四骑士去完成一次不可能的偷盗任务。四骑士只剩最后的希望，他们必须上演一场前所未有的魔术秀来为自己正名，揭穿背后主谋。,130分钟,2016-06-24(中国大陆)/2016-06-10(美国)," 美国"," 英语 / 汉语普通话 / 粤语",235522.0,6.8,11.1%,31.4%,45.8%,9.9%,1.8%,50211,463.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2355440566.jpg
完美陌生人 Perfetti sconosciuti,2016.0,保罗·杰诺维塞,保罗·杰诺维塞/菲利波·博洛尼亚/保罗·克斯泰拉/宝拉·马米妮/罗兰多·拉维洛,马可·贾利尼/卡夏·斯穆特尼亚克/爱德华多·莱奥/阿尔芭·洛尔瓦彻/瓦莱里奥·马斯坦德雷亚/安娜·福列塔/朱塞佩·巴蒂斯通,剧情/喜剧,三对处于各个婚姻阶段的伴侣和一个宅男，七人聚在一起吃晚餐。女主人提议下拍板决定当夜所有人分享每一个电话、每一条短信、邮件的内容，由此许多秘密开始不再是秘密，他们之间的关系也开始发生波动。无数疮痍在这场“坦白局”中被揭开，复杂的男女情感让所有人陷入困局，什么是婚姻感情中最不可触碰的底线？众人遭遇是难言的禁忌还是隐藏的真心，月食过后，谎言能否继续？,97分钟,2018-05-25(中国大陆)/2016-02-11(意大利)," 意大利"," 意大利语",414337.0,8.5,40.6%,46.9%,11.5%,0.8%,0.2%,113330,2537.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2522331945.jpg
X战警：天启 X-Men: Apocalypse,2016.0,布莱恩·辛格,布莱恩·辛格/迈克尔·道赫蒂/丹·哈里斯/西蒙·金伯格,詹姆斯·麦卡沃伊/迈克尔·法斯宾德/詹妮弗·劳伦斯/尼古拉斯·霍尔特/奥斯卡·伊萨克/罗丝·伯恩/埃文·彼得斯/休·杰克曼/乔什·赫尔曼/苏菲·特纳/泰伊·谢里丹/卢卡斯·提尔/柯蒂·斯密特-麦菲/本·哈迪/亚历山德拉·希普/拉娜·康多/奥立薇娅·玛恩,动作/科幻/奇幻/冒险,,144分钟,2016-06-03(中国大陆)/2016-05-09(伦敦首映)/2016-05-27(美国)," 美国"," 英语 / 德语 / 阿拉伯语 / 波兰语 / 古埃及语",325369.0,7.7,21.3%,46.5%,28.6%,3.0%,0.6%,69133,875.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2352321614.jpg
小姐 아가씨,2016.0,朴赞郁,郑瑞景/朴赞郁/莎拉·沃特丝,金敏喜/金泰梨/河正宇/赵震雄/文素丽/金海淑/李龙女/李东辉/赵恩亨/丁夏潭/金仁宇/金诗恩/高木里奈,剧情/悬疑/情色/同性,公爵（河正宇 饰）为了得到日本贵族秀子小姐（金敏喜 饰）的财产，意欲娶她为妻，而后以其患上精神疾病为由将秀子送入精神病院。为了实现自己的阴谋，公爵将出生于小偷世家的南淑熙（金泰璃 饰）送到秀子的身边担任女佣，如此一来两人里应外合，深闺之中不谙世事的秀子和她的万贯家财根本 就是他们的囊中之物。,145分钟,2016-05-14(戛纳电影节)/2016-06-01(韩国)," 韩国"," 韩语 / 日语",243342.0,8.2,32.8%,47.9%,17.4%,1.5%,0.3%,60652,820.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2355555424.jpg
自杀小队 Suicide Squad,2016.0,大卫·阿耶,大卫·阿耶/约翰·奥斯特兰德,威尔·史密斯/杰瑞德·莱托/玛格特·罗比/乔尔·金纳曼/维奥拉·戴维斯/本·阿弗莱克/杰·科特尼/卡拉·迪瓦伊/杰伊·埃尔南德斯/斯科特·伊斯特伍德/阿德沃尔·阿吉纽依-艾格拜吉/埃兹拉·米勒/科曼/亚当·比奇/吉姆·帕拉克/伊克·巴里霍尔兹/亚历克斯·梅拉兹/凯伦·福原/雷蒙德·奥鲁巴维尔/大卫·哈伯,动作/犯罪/奇幻,,123分钟,2016-08-05(美国)," 美国"," 英语 / 日语 / 西班牙语",215562.0,6.6,11.3%,26.2%,44.4%,15.1%,3.0%,51332,497.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2363084076.jpg
降临 Arrival,2016.0,丹尼斯·维伦纽瓦,埃里克·海瑟尔/姜峯楠,艾米·亚当斯/杰瑞米·雷纳/福里斯特·惠特克/迈克尔·斯图巴/马泰/马克·奥布莱恩/乔·柯布登 /派特·凯利/娜塔莉·希波蒂/袁罗素/克里斯蒂安· 杰达/朱利安·凯西,剧情/科幻,地球的上空突然出现了十二架贝壳状的不明飞行物，悬浮在十二个不同的国家的上空，外星人向人类发出了讯号，但人类却并不能够解读。美国军方找到了语言学家路易斯（艾米·亚当斯 Amy Adams 饰）和物理学家伊恩（杰瑞米·雷纳 Jeremy Renner 饰），希望两人能够合作破解外星人的语言之谜。,116分钟,2017-01-20(中国大陆)/2016-09-01(威尼斯电影节)/2016-11-11(美国)," 美国"," 英语 / 俄语 / 汉语普通话",345129.0,7.8,22.7%,47.3%,25.9%,3.3%,0.8%,95697,2985.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2411622421.jpg
