index,title,year,director,screenwriter,actors,type,summary,runtime,pubtime,country,language,scoreNum,score,star5,star4,star3,star2,star1,smallCommentNum,longCommentNum,posterurl
1362,闻烟,2020,泷田洋二郎,桂冠,韩庚/张国立/许晴/薛昊婧,剧情,柳氏经营的百年老店“同顺祥”，世代传承独有的冰晶糕制作工艺，父亲柳庭深（张国立 饰）却一直不肯将制作秘方传给儿子柳见三（韩庚 饰），父子之间产生误解和隔阂。见三气愤之下选择离开父亲外出拼搏，多年后，因父亲病重回家探望的见三，终于发现父亲隐藏多年的秘密原来和自己有关……,,2020(中国大陆), 中国大陆, 汉语普通话,,,,,,,,62.0,0.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2563788253.jpg
1363,飞哥与小佛大电影：坎迪斯对抗宇宙 Phineas and Ferb The Movie: Candace Against the Universe,2020,迈克尔·阿恩特,丹·波文迈尔/杰夫·马尔什,艾莉森·斯通勒/阿什丽·提斯代尔/迪·布拉雷·贝克尔/奥利维亚·奥尔森/文森特·马特拉/马里克·潘考利/丹·波文迈尔/杰夫·马尔什/卡罗琳·雷亚/David Errigo Jr./Tyler Alexander Mann/Bobby Gaylor,喜剧/动画/家庭/冒险,迪士尼打造全新原创影片《飞哥与小佛大电影：坎迪斯对抗宇宙》(Phineas and Ferb The Movie: Candace Against the Universe，暂译)。该片也将独家上线Disney+。,,2020-08-28(美国), 美国, 英语,,,,,,,,13.0,0.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2319383079.jpg
1364,燕赤霞·生肖神将,2020,杨朗从,樊大明,刘济恺/刘亦彤/林飞/茹天/徐勇,奇幻/古装,燕赤霞是《聊斋》系列中《倩女幽魂》篇章的经典人物，该故事讲述了燕赤霞在成为捉妖师之前只是一名无父无母的小混混，后来加入捉拿赤狼妖兽的团队，最终解开了自己的身世，消灭了赤狼妖兽。,,2020-03-20(中国大陆), 中国大陆, 汉语普通话,,,,,,,,12.0,0.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2589486748.jpg
1365,虽然只是弄丢了手机2 スマホを落としただけなのに 囚われの殺人鬼,2020,中田秀夫,大石哲也,千叶雄大/成田凌/白石麻衣/铃木拡树/田中哲司/井浦新/音尾琢真/江口德子/奈绪/饭尾和树/Risako Tanigawa /田中圭/北川景子,剧情/悬疑/惊悚,「スマホを落としただけなのに」の続編にあたる本作では、刑事・加賀谷学役で千葉、彼が逮捕した獄中の連続殺人鬼・浦野善治役で成田凌が続投する。加賀谷の恋人で、新たな事件に巻き込まれていくヒロイン・松田美乃里役には白石麻衣（乃木坂46）がキャスティングされた。前作と同じく中田秀夫が監督を務める。,,2020-02-21(日本), 日本, 日语,,,,,,,,21.0,0.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2576827648.jpg
1366,搏击者,2020,黄龙芳,郭常辉/杜玉明/谢浩杰/黄佳军/顾心辰,郭常辉/杜玉明/谢浩杰/黄佳军/顾心辰,剧情/动作/运动,曾经的拳王陈唤，十年前被迫退役，自此一蹶不振，负载累累，在拳馆浑浑噩噩的当着教练。二十出头的阿超喜欢格斗，从小在父亲的训练下学习摔跤，有着极佳的格斗天赋，但为了救同学余芯失手打死人而入狱三年，为此在他心里一直存有很深的芥蒂。出狱后，余芯带着阿超找到陈唤，希望陈唤能训练阿超。她知道只有格斗才能救醒阿超，让他打开心结，重新生活。,99分钟,2020-02-15(中国大陆网络)/2020-07-20(中国大陆), 中国大陆, 汉语普通话,,,,,,,,9.0,9.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2584344372.jpg
1367,坚如磐石,2020,张艺谋,陈宇,雷佳音/张国立/于和伟/周冬雨/孙艺洲/李乃文/许亚军/田雨/何政军/陈冲/王迅,剧情/犯罪,为了调查案情，雷佳音扮演的技术科警察苏见明，不顾父亲郑刚（张国立饰）的劝阻，赶赴富商黎志田（于和伟饰）的“鸿门宴”，观看了一出黎志田愚弄他人、手入火锅的猖狂戏码。随后，墙缝藏尸、扳手砸人、近一百个亿的私相授受和神秘的“老爷子的资源”等伏笔相继扯出，表面单纯的犯罪事件背后暗流涌动……,,2020(中国大陆), 中国大陆, 汉语普通话,,,,,,,,484.0,8.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2607353063.jpg
1368,死亡通知单之暗黑者,2020,邱礼涛,沈锡然,吴镇宇/古天乐/张智霖/胡杏儿/佘诗曼/周秀娜/任达华/吕良伟/蔡瀚亿/陆永/黄德斌/张建声/麦子乐/赵永洪/周柏豪 /罗兰/姜皓文/洪天明/陈国坤,动作/悬疑/犯罪,故事讲述在某个城市，有组织发放“死亡通知单”，将在何时以何罪名向何人执行死刑，即使收到通知单的人报案，获警方贴身保护，该组织照样能突破重围，轻而易举地手刃受刑人。警方为此成立项目小组，却揭出背后还隐藏着更大的阴谋。,,, 中国大陆, 汉语普通话,,,,,,,,128.0,0.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2569203021.jpg
1369,七人乐队 七人樂隊,2020,杜琪峰/徐克/许鞍华/林岭东/谭家明/洪金宝/袁和平,洪金宝/欧健儿/吕筱华/陆渺回/游乃海/杜琪峰/林岭东/徐克/司徒慧焯,任达华/龚慈恩/余香凝/马赛,历史,根据国家电影局备案公示，洪金宝、许鞍华、谭家明、袁和平、杜琪峰、林岭东、徐克7位香港导演共同执导的合拍片《七人乐队》获准立项！根据故事梗概，该片是一部向「胶卷」致敬的短片集，用胶卷纪录属于不同世代的故事。,,2020(中国大陆), 中国香港 / 中国大陆, 粤语,,,,,,,,214.0,0.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2606503330.jpg
1370,未来未来,2020,郭敬明,郭敬明,,科幻,科幻电影《未来未来》立项，讲述了两百年后，某神秘公司制造出一批超能力者，并利用神秘技术对其进行操纵。一部分超能力者反抗试图救出所有的同类，寻找最初拥有超能力基因的三位“超能始祖”的故事。,,, 中国大陆, 汉语普通话,,,,,,,,28.0,1.0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2489284051.jpg
1371,拆弹专家2,2020,邱礼涛,邱礼涛/李敏/李昇,刘德华/刘青云/倪妮/谢君豪/姜皓文/马浴柯/洪天明/吴卓羲/黄德斌/蔡瀚亿/张竣杰,动作/犯罪,香港某处发生爆炸案，前拆弹专家潘乘风（刘德华 饰）因昏迷于现场，被警方怀疑牵涉其中。苏醒后的潘乘风只能一边逃亡一边查明真相，然而，他的好友董卓文（刘青云 饰）和他的前女友庞玲（倪妮 饰）却给他讲述了两段截然不同的经历。有计划的爆炸案接二连三发生，真相却越来越扑朔迷离……,,2020-12-24(中国大陆), 中国大陆 / 中国香港, 汉语普通话,,,,,,,,140.0,2.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614798555.jpg
