,title,year,director,screenwriter,actors,type,summary,runtime,pubtime,country,language,scoreNum,score,star5,star4,star3,star2,star1,smallCommentNum,longCommentNum,posterurl
732,神秘世界历险记4,2018,王云飞/张林旭/李佳怡,王云飞/马华/张林旭,阎么么/赵一博/张磊/图特哈蒙/郭政建/林强/白雪岑/杨凝/魏超,动画,,85分钟,2018-08-03(中国大陆), 中国大陆, 汉语普通话,1225.0,5.5,3.2%,16.9%,41.9%,25.0%,12.9%,463.0,22.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2528380655.jpg
733,大地震 Skjelvet,2018,约翰·安德烈亚斯·安德森,约翰·科雷·拉凯/哈拉尔·罗斯诺瑙·艾格,克里斯托弗·约纳尔/安妮·达尔·托普/乔纳斯·霍夫·奥夫特布洛/伊迪丝·哈根鲁德-桑德/蒂娜·谢伊/张特兰,剧情/灾难,1904年，5.4级地震突袭挪威首都奥斯陆，造成严重伤亡！多年来，挪威仍不时受细规模地震影响。然而，地质学专家预测，一场难以避免的巨型地震将会再次发生，今次杀伤力更会远超当年。不过，他们却无法准确预计地震出现的时间，可能会是100年后、10年后、甚至明日…当地震来临时，众人又能否全身而退？,106分钟,2018-08-31(挪威), 挪威, 挪威语,1358.0,5.4,3.2%,10.8%,45.8%,32.6%,7.5%,470.0,5.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2541256015.jpg
734,暗杀国度 Assassination Nation,2018,萨姆·李文森,萨姆·李文森,奥黛莎·杨/阿布拉/苏琪·沃特豪斯/哈莉·尼夫/科尔曼·多明戈/丹尼·拉米雷斯/乔尔·麦克哈尔/茉德·阿帕图/科迪·克里斯蒂安/比尔·斯卡斯加德/库伦·莫斯/贝拉·索恩/小凯文·哈里森/阿尼卡·诺尼·罗斯/杰夫·波普/诺亚·盖尔文,惊悚/犯罪,背景设定在马萨诸塞州塞勒姆镇，当一个破坏分子开始在网上发布小镇里每个人的私人生活细节，将小镇生活搅得天翻地覆后，一个精通社交媒体的高中学生和她的朋友们等待着观察最终结果。 浏览器历史记录、私信、非法下载、秘密文本链甚至更加糟糕的因素，造成了数字时代能够发生的最糟糕的情况。,108分钟,2018-01-21(圣丹斯电影节)/2018-09-21(美国), 美国, 英语,1532.0,5.3,5.6%,12.6%,38.5%,30.4%,13.0%,505.0,10.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2528259061.jpg
735,同族 Kin,2018,乔纳森·贝克/乔西·贝克,乔纳森·贝克/乔西·贝克/丹·凯西,詹姆斯·弗兰科/佐伊·克罗维兹/丹尼斯·奎德/凯莉·库恩/杰克·莱诺/马克·奥布莱恩/伊恩·马休斯/肖恩·J·汉密尔顿/高莉莉/乔纳森·切里/罗曼诺·欧萨里/迈尔斯·特鲁伊特/布里·沃西伦科/加万·福克斯,动作/科幻/惊悚,故事讲述一位前科犯人（杰克·莱诺 饰），被迫要跟被收养的兄弟一起逃亡，全然因为他们被一位报复心极强的罪犯（詹姆斯·弗兰科 饰）追捕。而兄弟俩保护自己的方式，就是找到神秘武器。,102分钟,2018-08-31(美国), 美国, 英语,1387.0,5.3,3.9%,9.9%,45.1%,32.2%,9.0%,378.0,4.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2528019541.jpg
736,让我怎么相信你,2018,梁青儿/梁小凉,梁青儿/梁小凉,梁天/安乙荞/文松/闫妮/关婷娜/黄玥程/谢梦华,剧情/喜剧,这是一部温情治愈系公路电影。讲述关系疏远、有隔阂的父女通过一场意外之旅，一同成长并修补关系的故事。影片聚焦社会普遍存在的亲子关系问题，让那些在原生家庭中受情感创伤的“孩子们”尝试与过去和解，使那些心存愧疚与遗憾的“父亲们”得到心灵的抚慰，恰如影片中的这对“问题父女”，他们在“笑中有泪”“意外频出”的旅途中，重拾信任，彼此治愈。,88分钟,2018-09-14(中国大陆)/2018-06-20(上海电影节), 中国大陆, 汉语普通话,1247.0,5.3,6.9%,14.7%,32.4%,28.6%,17.4%,446.0,16.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2533276654.jpg
738,末路爱侣 How It Ends,2018,大卫·M·罗森索,Brooks McLaren,凯瑞·碧许/西奥·詹姆斯/福里斯特·惠特克/卡特琳娜·格兰厄姆/马克·奥布莱恩/格蕾丝·德芙/南希·索瑞尔/杰夫·沃尔/阿隆·休斯/Lanie McAuley/Derek James Trapp/Josh Cruddas,惊悚,神秘的浩劫造成错误消息传播和暴力行为蔓延之际，一名男子和其关系疏离的岳父分秒必争，横越混乱而支离破碎的国家，力图拯救他怀有身孕的妻子。,113分钟,2018-07-13(美国), 美国, 英语,1589.0,5.1,4.5%,11.4%,35.8%,33.0%,15.2%,530.0,12.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2525919849.jpg
739,狄仁杰之幽冥道,2018,黄河,林珍钊,杨恭如/罗立群/何文辉/李若希/黄一飞/阿依古丽·阿不都拉,剧情/动作/悬疑/古装,大唐，边境小城发生连环凶杀案，民众夜间看到神秘兵团运送财宝。武则天（杨恭如 饰）令狄仁杰（罗立群 饰）前去探案，狄仁杰了解到见过神秘兵团的人接连丧命，就连现场尸首也呈现“沙化”现象。前来寻亲的李少侠与调查案件陷入困境中的狄仁杰携手解密，在两人的共同努力下，一场颠覆大唐的阴谋逐渐浮出了水面......,97分钟,2018-10-02(中国大陆), 中国大陆, 汉语普通话,1899.0,5.0,2.4%,9.0%,39.4%,34.0%,15.2%,598.0,16.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2534872154.jpg
740,金龟子,2018,丁实,马华,刘纯燕/张磊/杨晨/王逸宸/王宁/田波/青蛙王子/张遥函/林强/郭政建/张闻天,动画/家庭/冒险,《金龟子》动画大电影从一个乐天派的昆虫——金龟子的冒险旅程展开讲述，它生活在一所珍稀昆虫研究中心“人造丛林”的虫箱里，过着简单快乐的生活。直到有一天，一只外来的蜻蜓水哥打破了这份平静……水哥向金龟子描述了虫箱外的世界，金龟子心向往之，它决定挣脱虫箱的束缚。但是虫箱外的世界真的像金龟子和朋友们想象得那般美好吗？传说中的“黄金大峡谷”真的存在吗？在那个崭新而又充满未知的世界里，金龟子和它的朋友们会历经怎样的一番奇遇呢？一段惊险又有趣的冒险旅程就此开始了！,77分钟,2018-02-02(中国大陆), 中国大陆, 汉语普通话,566.0,5.1,6.7%,10.0%,41.7%,16.7%,25.0%,155.0,20.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2513248608.jpg
741,女哭声 여곡성,2018,柳永善,許聖洙(原作),孙娜恩/徐英姬/金浩昌/陆进秀/朴敏智/李敏豪/朴珠美/崔宏一,恐怖,朝鲜王国某官员宅内，因以前一桩恩怨惹到怨灵缠身，导致长子、次子接连身亡。家主夫人（徐英姬 饰）不想家道中落，遂主持张罗为三子明奎迎娶一个卑贱女子（孙娜恩 饰），并且安排佣人之子代入洞房，以期骗过女鬼。谁曾想明奎贪恋新娘美貌，执意亲自合房。结果当夜女鬼前来，明奎身亡。在此之后，三少奶奶有孕在身，母凭子贵，得以留在这个家中。她不仅要应对女鬼三番五次的骚扰，更要时刻留心来自两位嫂子的暗算。,94分钟,2018-11-08(韩国), 韩国, 韩语,1378.0,4.9,4.2%,6.6%,34.4%,38.2%,16.6%,386.0,10.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2537698302.jpg
742,鳄口逃生 The Pool นรก 6 เมตร,2018,Ping Lumpraploeng,Ping Lumpraploeng,提拉德·翁坡帕/Ratnamon Ratchiratham,动作/惊悚,在拍摄结束后，一家商业制作公司的艺术总监独自清理了一个6米深的废弃游泳池。由于太疲劳，他在充气垫上睡着了。当再次醒来时，水已经流很低了，他无法爬出游泳池，只能大声呼救，但唯一能听到他声音的是附近的鳄鱼。,91分钟,2018-09-27(泰国), 泰国, 泰语,1251.0,4.7,3.2%,7.7%,33.4%,33.7%,22.0%,450.0,6.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2535266352.jpg
743,幸福泌尿科 비뇨기과 여의사들,2017.0,조태호,김지연/주희/유종해/조용복,김지연/주희/유종해/조용복,爱情/情色,내 손길 한번이면 당신도 잘 할 수 있어요~,72分钟,2018-02-22(韩国), 韩国, 韩语,271.0,4.1,7.7%,3.3%,19.8%,26.9%,42.3%,59.0,0.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2513045875.jpg
744,解码游戏,2018,李海龙,苏亮/虞俏/李敏/刘迟,韩庚/凤小岳/李媛/山下智久/廖启智/迈克尔·帕帕约翰,喜剧/动作/犯罪,宅男黑客李浩铭被代号“斑马”的职业罪犯乔飞和神秘女孩苏仪绑架，被迫卷入了一起诡谲奇异的案件中，与深网黑暗巨头闫岳斗智斗勇。陷入冒险游戏中的浩铭和乔飞渐渐成为一对生死拍档，而在不断浮出的“真相”背后，其实隐藏着更深的秘密……,99分钟,2018-08-03(中国大陆), 中国大陆 / 中国香港 / 美国, 汉语普通话,4232.0,3.9,2.9%,3.3%,18.8%,35.1%,39.8%,1787.0,41.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2529787833.jpg
