,title,year,director,screenwriter,actors,type,summary,runtime,pubtime,country,language,scoreNum,score,star5,star4,star3,star2,star1,smallCommentNum,longCommentNum,posterurl
0,星际穿越 Interstellar,2014,克里斯托弗·诺兰,乔纳森·诺兰/克里斯托弗·诺兰,马修·麦康纳/安妮·海瑟薇/杰西卡·查斯坦/麦肯吉·弗依/卡西·阿弗莱克/迈克尔·凯恩/马特·达蒙/蒂莫西·柴勒梅德/艾伦·伯斯汀/约翰·利思戈/韦斯·本特利/大卫·吉亚西/比尔·欧文/托弗·戈瑞斯/科莱特·沃夫/弗朗西斯·X·麦卡蒂/安德鲁·博尔巴/乔什·斯图沃特/莱雅·卡里恩斯/利亚姆·迪金森/杰夫·赫普内尔/伊莱耶斯·加贝尔/布鲁克·史密斯/大卫·奥伊罗/威廉姆·德瓦内/拉什·费加/格里芬·弗雷泽/弗洛拉·诺兰,剧情/科幻/冒险,,169分钟,2014-11-12(中国大陆)/2020-08-02(中国大陆重映)/2014-11-07(美国), 美国 / 英国 / 加拿大 / 冰岛, 英语,1215883.0,9.3,71.9%,23.0%,4.4%,0.4%,0.3%,282191,5580.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg
1,超能陆战队 Big Hero 6,2014,唐·霍尔/克里斯·威廉姆斯,乔丹·罗伯茨/丹尼尔·吉尔森/罗伯特·L·贝尔德,斯科特·安第斯/瑞恩·波特/丹尼尔·海尼/T·J·米勒/杰米·钟/小达蒙·韦恩斯/珍尼希斯·罗德里格兹/詹姆斯·克伦威尔/艾伦·图代克/玛娅·鲁道夫/亚布拉哈姆·本鲁比/凯蒂·洛斯/比利·布什/丹尼尔·吉尔森/保罗·布里格斯,喜剧/动作/科幻/动画/冒险,未来世界的超级都市旧京山（San Fransokyo），热爱发明创造的天才少年小宏，在哥哥泰迪的鼓励下参加了罗伯特·卡拉汉教授主持的理工学院机器人专业的入学大赛。他凭借神奇的微型磁力机器人赢得观众、参赛者以及考官的一致好评，谁知突如其来的灾难却将小宏的梦想和人生毁于一旦。大火烧毁了展示会场，而哥哥为了救出受困的卡拉汉教授命丧火场。身心饱受创伤的小宏闭门不出，哥哥生前留下的治疗型机器人大白则成为安慰他的唯一伙伴。原以为微型机器人也毁于火灾，谁知小宏和大白竟意外发现有人在某座废弃工厂内大批量地生产他的发明。,102分钟,2015-02-28(中国大陆)/2020-07-31(中国大陆重映)/2014-10-23(东京电影节)/2014-11-07(美国), 美国, 英语,736846.0,8.7,46.7%,41.7%,10.8%,0.7%,0.1%,133621,827.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614500883.jpg
2,银河护卫队 Guardians of the Galaxy,2014,詹姆斯·古恩,詹姆斯·古恩/尼科尔·帕尔曼/丹·阿布内特/安迪·兰宁,克里斯·帕拉特/佐伊·索尔达娜/布莱德利·库珀/范·迪塞尔/戴夫·巴蒂斯塔/李·佩斯/迈克尔·鲁克/凯伦·吉兰/杰曼·翰苏/本尼西奥·德尔·托罗/约翰·C·赖利/格伦·克洛斯/劳拉·哈德克/肖恩·古恩/彼得·塞拉菲诺威茨/埃米特·斯坎伦/奥菲利亚·拉维邦德,动作/科幻/冒险,彼得·奎尔（克里斯·帕拉特 Chris Pratt 饰）是一名从小被劫持到外太空的地球人，在义父勇度（迈克尔·鲁克 Michael Rooker 饰）的培养下成了一个终极混混，自称“星爵”。一次行动中他偷了一块神秘球体，便成为了赏金猎人火箭浣熊（布莱德利·库珀 B radl ey Cooper 配音）、树人格鲁特（范·迪塞尔 Vin Diesel 配音）的绑架目标，而神秘的卡魔拉（佐伊·索尔达娜 Zoe Saldana 饰）也对神秘球体势在必得。经过笑料百出的坎坷遭遇，星爵被迫和这三人，以及复仇心切的“毁灭者”德拉克斯（戴夫·巴蒂斯塔 Dave Batista 饰）组成小分队逃避“指控者”罗南（李·佩斯 Lee Pace 饰）的追杀。然而这个神秘球体拥有无穷的力量，小分队必须团结一致对付罗南，才有可能解救整个银河系，银河护卫队由此诞生。,121分钟,2014-10-10(中国大陆)/2014-07-21(洛杉矶首映)/2014-08-01(美国), 美国 / 英国, 英语 / 萨卡语,426636.0,8.1,29.0%,48.5%,20.1%,1.9%,0.5%,87558,521.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2198455702.jpg
3,美国队长2 Captain America: The Winter Soldier,2014,安东尼·罗素/乔·罗素,克里斯托弗·马库斯/斯蒂芬·麦克菲利,克里斯·埃文斯/斯嘉丽·约翰逊/塞巴斯蒂安·斯坦/安东尼·麦凯/海莉·阿特维尔/艾米丽·万凯普/罗伯特·雷德福/塞缪尔·杰克逊/寇碧·史莫德斯/卡兰·马尔韦/弗兰克·格里罗/斯坦·李/托比·琼斯/珍妮·艾加特/乔治·圣皮埃尔/盖瑞·山德林/阿兰·戴尔/黄经汉/阿德托库姆布斯·麦克马克/多米尼克·瑞恩斯,动作/科幻/冒险,渐渐习惯了现代生活的美国队长史蒂夫·罗杰斯（克里斯·埃文斯 Chris Evans 饰），在一次行动后隐隐嗅到神盾局内部所弥漫出来的凶险气味。而当得知神盾局正秘密进行的“洞察计划”后，他更为此感到愤怒。某天，神盾局指挥官尼克-法瑞（塞缪尔·杰克逊 Samuel L. Jackson 饰）遭到一群武装分子袭击，他拼尽全力将一支U盘交到美国队长手中，这里面藏着该局二战以来最重要且最可怕的秘密。在此之后，美国队长因涉嫌杀害尼克而遭到前局长亚历山大·皮尔斯（罗伯特·雷德福Robert Redford 饰）的通缉和追杀，逃亡中他得到黑寡妇（斯嘉丽·约翰逊 Scarlett Johansson 饰）和退伍老兵“猎鹰”（安东尼·麦凯 Anthony Mackie 饰）的帮助。,136分钟,2014-04-04(美国/中国大陆)/2014-03-13(加州首映), 美国, 英语 / 法语,374839.0,8.0,26.7%,49.6%,21.8%,1.6%,0.4%,72176,540.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2174824694.jpg
4,布达佩斯大饭店 The Grand Budapest Hotel,2014,韦斯·安德森,韦斯·安德森/雨果·吉尼斯/斯蒂芬·茨威格,拉尔夫·费因斯/托尼·雷沃罗利/艾德里安·布洛迪/威廉·达福/裘德·洛/爱德华·诺顿/西尔莎·罗南/蒂尔达·斯文顿/比尔·默瑞/蕾雅·赛杜/欧文·威尔逊/詹森·舒瓦兹曼/马修·阿马立克/F·默里·亚伯拉罕/汤姆·威尔金森/杰夫·高布伦/哈威·凯特尔,剧情/喜剧/冒险,,99分钟,2014-02-06(柏林电影节)/2014-03-28(美国), 美国 / 德国 / 英国, 英语 / 法语 / 德语,653802.0,8.8,53.0%,37.3%,8.8%,0.7%,0.2%,143638,1184.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.jpg
5,消失的爱人 Gone Girl,2014,大卫·芬奇,吉莉安·弗琳,本·阿弗莱克/裴淳华/尼尔·帕特里克·哈里斯/凯莉·库恩/泰勒·派瑞/金·迪肯斯/米西·派勒/波伊德·霍布鲁克/艾米丽·拉塔科斯基/雪拉·渥德/派屈克·福吉特/斯科特·麦克纳里/凯西·威尔逊/李·诺里斯,剧情/悬疑/惊悚/犯罪,结婚五周年纪念日的早上，尼克·邓恩（本·阿弗莱克 Ben Affleck 饰）来到妹妹玛戈（凯莉·库恩 Carrie Coon 饰）的酒吧，咒骂抱怨那个曾经彼此恩爱缠绵的妻子艾米（罗莎蒙德·派克 Rosamund Pike 饰）以及全然看不见希望的婚姻。当他返回家中时， 却发现客厅留下了暴行的痕迹，而妻子竟不见了踪影。女探员朗达·邦妮（金·迪肯斯 Kim Dickens 饰）接到报案后赶来调查，而现场留下的种种蛛丝马迹似乎昭示着这并非是一件寻常的失踪案，其背后或许隐藏着裂变于夫妻之情的谋杀罪行。艾米的失踪通过媒体大肆渲染和妄加揣测很快闻名全国，品行不端的尼克被推上风口浪尖，至今不见踪影的爱人对他进行无情审判，你侬我侬的甜言蜜语早已化作以血洗血的复仇与折磨……,149分钟,2014-09-26(纽约电影节)/2014-10-03(美国), 美国, 英语,664266.0,8.7,47.8%,42.7%,8.8%,0.6%,0.2%,158801,2322.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg
6,超体 Lucy,2014,吕克·贝松,吕克·贝松,斯嘉丽·约翰逊/摩根·弗里曼/崔岷植/阿马尔·维克德/朱利安·林希德-图特/皮鲁·埃斯贝克/安娜丽·提普顿/詹·奥利弗·施罗德/弗雷德里克·周/克莱尔·陈/塞德里克·舍瓦姆/沃尔夫冈·皮索尔斯/邵斯凡/保罗·陈/林暐恒/邢峰/徐灏翔/塞缪尔·丘林/李淳/吕克·贝松/高靖榕/克里斯多夫·泰克,动作/科幻,被恶德男友强迫帮人送货的年轻女子露西（斯嘉丽·约翰逊 Scarlett Johansson 饰），遭遇了穷凶恶极的黑帮头目张先生（崔岷植 饰）一伙。她连同三个男人被张先生在腹部缝入了代号为CPH4的神秘药品，以此将药品偷偷带入不同国家。在台北盘桓期间，露西遭到恶男暴打，以致药品破裂进入血液之中。谁知令人难以置信的事情就此发生，药品激发了露西大脑的潜力，令人脑中约90%的神经元相继苏醒。伴随着身体的飞快进化，露西掌握了越来越多人们所谓的超能力。她清楚地了解到CPH4所拥有的强大威力，于是想方设法要阻止其他三袋药品落入张先生一伙手中。,89分钟,2014-10-24(中国大陆)/2014-07-25(美国)/2014-08-06(法国), 法国, 英语 / 韩语 / 法语 / 汉语普通话,427155.0,7.3,17.5%,39.1%,36.0%,6.1%,1.2%,95049,1760.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2201909284.jpg
7,我的个神啊 PK,2014,拉吉库马尔·希拉尼,拉吉库马尔·希拉尼/阿希贾特·乔希,阿米尔·汗/安努舒卡·莎玛/桑杰·达特/博曼·伊拉尼/沙鲁巴·舒克拉/苏尚特·辛格·拉吉普特/帕里卡沙特.萨赫尼/阿马尔迪普·杰哈/瑞玛·德纳斯/迪伦德拉·德维韦迪/赛·甘德沃尔/拉姆·P·塞蒂,喜剧/奇幻,,139分钟(中国大陆),2015-05-22(中国大陆)/2014-12-19(印度), 印度, 印地语 / 英语 / 乌尔都语,302524.0,8.4,38.6%,45.3%,14.3%,1.4%,0.3%,68074,1131.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2243803873.jpg
8,模仿游戏 The Imitation Game,2014,莫滕·泰杜姆,格拉汉姆·摩尔/安德鲁·霍奇斯,本尼迪克特·康伯巴奇/凯拉·奈特莉/马修·古迪/罗里·金尼尔/艾伦·里奇/马修·比尔德/查尔斯·丹斯/马克·斯特朗/詹姆斯·诺斯科特/汤姆·古德曼-希尔/史蒂芬·威丁顿/伊兰·古德曼/杰克·塔尔登/埃里克斯·劳瑟/杰克·巴农/塔彭丝·米德尔顿/安德鲁·哈维尔/维尔·博登/李·阿斯奎斯-柯/海莉·乔安妮·培根/安库塔·布雷班/格雷斯·卡尔德/理查德·坎贝尔/温斯顿·丘吉尔/克里斯·考林/汉娜·弗林/阿道夫·希特勒/卢克·霍普/斯图尔特·马修斯/亚当·诺威尔/哈里·S·杜鲁门,剧情/同性/传记/战争,二战期间，盟军苦于德国的秘密系统”英格玛“无法破译，政府召集了一批民间数学家、逻辑学家进行秘密破解工作，图灵（本尼迪克特·康伯巴奇 Benedict Cumberbatch 饰）就是其中之一。计划刚开始图灵遭到了以休（马修·古迪 Matthew Goode）为首的组员和领导的排斥，幸好军情处部长孟席斯（马克·斯特朗 Mark Strong 饰）帮助他立项研究破译密码的机器，而图灵则变成了负责人，招收了新的成员琼（凯拉·奈特莉 Keira Knightley）开始了艰难的工作。琼很快就迷上了图灵，由于她的帮助所有组员空前的团结，并于两年后成功破解德军的密码。图灵一度与琼订婚，但实际上他隐瞒了一个秘密，因为这个秘密他也遭受了非人的待遇……,114分钟,2015-07-21(中国大陆)/2014-11-14(英国)/2014-12-25(美国), 英国 / 美国, 英语 / 德语,448761.0,8.7,46.1%,42.9%,10.3%,0.6%,0.1%,92110,1380.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2255040492.jpg
9,王牌特工：特工学院 Kingsman: The Secret Service,2014,马修·沃恩,简·古德曼/马修·沃恩/马克·米勒/戴夫·吉布森,塔伦·埃哲顿/科林·费尔斯/塞缪尔·杰克逊/迈克尔·凯恩/马克·斯特朗/索菲·库克森/索菲亚·波多拉/马克·哈米尔/杰克·达文波特/萨曼塔·沃马克/汉娜·奥斯特罗姆/约诺·戴维斯/亚历克斯·尼科洛夫/维利贝·托皮奇/杰夫·贝尔/艾德里安·奎因顿/乔丹·朗/西奥·巴克利姆-比格斯/摩根·华金斯/拉尔夫·伊内森/爱德华·霍尔克罗夫特/尼古拉斯·班克斯,喜剧/动作/冒险,哈里（科林·费斯 Colin Firth 饰）是英国秘密特工组织金士曼中的一员，某次行动中，他的战友不幸牺牲，哈里将一枚徽章和一个电话号码交给了战友年幼的小儿子艾格西（亚历克斯·尼科洛夫 Alex Nikolov 饰），叮嘱他将来如果遇到了什么麻烦可以拨打这个号码，然而，这样的机会只能使用一次。,125分钟(中国大陆),2015-03-27(中国大陆)/2014-12-13(BNAT电影节)/2015-01-29(英国), 英国 / 美国, 英语 / 阿拉伯语 / 瑞典语,531856.0,8.4,37.6%,46.0%,14.6%,1.3%,0.4%,122564,884.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2231932406.jpg
