,title,year,director,screenwriter,actors,type,summary,runtime,pubtime,country,language,scoreNum,score,star5,star4,star3,star2,star1,smallCommentNum,longCommentNum,posterurl
0,唐人街探案,2015,陈思诚,陈思诚/程佳客/刘凯/白鹤,王宝强/刘昊然/佟丽娅/陈赫/肖央/小沈阳/潘粤明/马浴柯/张子枫/赵英俊/桑平/金士杰/大鹏/张国强/李叶青/陈祉希,喜剧/动作/悬疑,天赋异禀的结巴少年秦风（刘昊然 饰）警校落榜，被姥姥遣送泰国找远房表舅——号称“唐人街第一神探”，实则猥琐的大叔唐仁（王宝强 饰）散心。不想一夜花天酒地后，唐仁沦为离奇凶案嫌疑人，不得不和秦风亡命天涯……穷追不舍的警探黄兰登（陈赫 饰）、无敌幸运的警察坤泰（肖央 饰）、穷凶极恶的匪帮三人组、高深莫测的唐人街教父、美艳风骚的老板娘阿香（佟丽娅 饰）等悉数登场！七天！唐仁、秦风必须取长补短、同仇敌忾！他们能否躲避警察追捕、匪帮追杀、黑帮围剿，在短短七天内，完成找到失落的黄金并查明真凶，为自己洗清罪名这些逆天的任务？,135分钟,2015-12-31(中国大陆), 中国大陆, 汉语普通话 / 泰语 / 英语,593588.0,7.6,18.8%,49.1%,27.6%,3.5%,1.1%,134356,1818.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2302930556.jpg
1,夏洛特烦恼,2015,闫非/彭大魔,闫非/彭大魔,沈腾/马丽/尹正/艾伦/王智/田雨/宋阳/常远/李萍/李立群/张一鸣/马小茜/赵震/董良瑜/刘坤/黄才伦/陈昊明/陆林洁/王成思/刘金/刘立东/杨欢/宁幻秋/温森/陶柏/许猛/嫣红/刘叶舟/王硕/马驰/周展翅/周华安/顾佳欣/易波/一戈/姜田丰/郭恩强/常世奎/于健/王琦/赵雪/陶亮/黄杨/陆羊/王军/刘子凡/刘笑竹/卢莹/张广洁/方菲菲/许登雨/朱波/肖扬/魏翔/江夏/吴江/张辰/王野/贾悦明/王翡/简姗姗/申琴子/尹星人/桂百惠/管亚鑫/彭泽言/王思浩/关鹏/桂琛/朱磊/徐贤任/田川/李哲,喜剧/爱情,在学生时代的初恋秋雅（王智 饰）的婚礼上，毕业后吃软饭靠老婆养的夏洛（沈腾 饰）假充大款，出尽其丑，中间还被老婆马冬梅（马丽 饰）戳穿暴捶。混乱之中，夏洛意外穿越时空，回到了1997年的学生时代的课堂里。他懵懵懂懂，以为是场真实感极强的梦，于是痛揍王老师，强吻秋雅，还尝试跳楼让自己醒来。当受伤的他从病床上苏醒时，他意识到自己真的穿越了时空。既然有机会重新来过，那不如好好折腾一回。他勇敢追求秋雅、奚落优等生袁华（尹正 饰）、拒绝马冬梅的死缠烂打。后来夏洛凭借“创作”朴树、窦唯等人的成名曲而进入娱乐圈。,104分钟,2015-09-30(中国大陆), 中国大陆, 汉语普通话,693357.0,7.7,25.3%,41.7%,25.9%,5.0%,2.1%,167327,3955.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2264377763.jpg
2,复仇者联盟2：奥创纪元 Avengers: Age of Ultron,2015,乔斯·韦登,乔斯·韦登/斯坦·李/杰克·科比,小罗伯特·唐尼/克里斯·海姆斯沃斯/马克·鲁弗洛/克里斯·埃文斯/斯嘉丽·约翰逊/杰瑞米·雷纳/詹姆斯·斯派德/塞缪尔·杰克逊/唐·钱德尔/亚伦·泰勒-约翰逊/伊丽莎白·奥尔森/保罗·贝坦尼/寇碧·史莫德斯/安东尼·麦凯/海莉·阿特维尔/伊德里斯·艾尔巴/斯特兰·斯卡斯加德/金秀贤/托马斯·克莱舒曼/安迪·瑟金斯/朱莉·德尔佩/斯坦·李/亨利·古德曼/多米尼克·普罗沃斯特-切克利/艾萨克·安德鲁斯,动作/科幻/奇幻/冒险,,142分钟,2015-05-12(中国大陆)/2015-05-01(美国), 美国, 英语 / 韩语,423881.0,7.5,19.1%,41.3%,34.2%,4.5%,0.9%,77862,677.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2237747953.jpg
3,海蒂和爷爷 Heidi,2015,阿兰·葛斯彭纳,约翰娜·施皮里/佩特拉·比翁迪娜·沃尔普,阿努克·斯特芬/布鲁诺·冈茨/昆林·艾格匹/安娜·申茨/伊莎贝尔·奥特曼/莉莲·奈福/彼得·杰克林/克里斯托夫·高格勒/丽贝卡·因德穆/莫妮卡·古布瑟/阿瑟·比勒/玛丽埃塔·耶米/彼得·洛迈尔/卡塔琳娜·舒特勒/杰拉·哈斯/迈克尔·克兰茨/劳拉·帕克/马库斯·赫林/马克西姆·梅米特/汉内洛勒·霍格,剧情/家庭/冒险,孤儿海蒂（阿努克·斯特芬 饰）被姨母迪蒂（安娜·希恩斯 饰）送上了阿尔卑斯山，与远离小镇独居于高山的祖父（布鲁诺·甘茨 饰）一同生活。活泼的海蒂在这里如鱼得水，不仅收获了羊倌彼得（奎林·阿格里皮 饰）的友情和孤僻祖父的亲情，还与山下彼得的家人打成一片。一天，海蒂同彼得在山上放羊，姨母突然出现，连哄带骗将海蒂卖到法兰克福的泽塞曼家。从此，目不识A的海蒂成为了小姐克拉拉（伊莎贝尔·奥特曼 饰）的伴读。克拉拉幼年丧母，大病一场再不能站立，只能被困在豪宅中与轮椅相伴。父亲（马克西姆·梅米特 饰）常年在外很少回家，寂寞的克拉拉把海蒂当成了救命稻草。海蒂能适应泽塞曼家的新生活吗？远在天边的祖父和彼得还能再见吗？克拉拉的腿还有好起来的希望吗？,111分钟,2019-05-16(中国大陆)/2015-12-10(德国), 德国 / 瑞士 / 南非, 德语 / 瑞士德语 / 南非语,299988.0,9.2,66.7%,28.1%,4.9%,0.3%,0.1%,89438,1679.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg
4,蚁人 Ant-Man,2015,佩顿·里德,斯坦·李/杰克·科比/拉里·利伯/埃德加·赖特/乔·考尼什/亚当·麦凯/保罗·路德,保罗·路德/迈克尔·道格拉斯/伊万杰琳·莉莉/寇瑞·斯托尔/迈克尔·佩纳/大卫·达斯马齐连/朱迪·格雷尔/鲍比·坎纳瓦尔/约翰·斯拉特里/伍德·哈里斯/T.I./海莉·阿特维尔/瓦内萨·罗斯/马丁·唐文/乔·克里斯特/艾比·莱德·弗特森/安东尼·麦凯/加勒特·莫里斯/尼尔·汉博格/鲁德·哈利特/斯坦·李/克里斯·埃文斯/塞巴斯蒂安·斯坦,动作/科幻/冒险,前工程师斯科特（保罗·路德 Paul Rudd 饰）由于劫富济贫进了监狱，出狱后的他为了争取看望女儿的权利又走上了盗窃之路。没想到一次意外的偷盗事件让他成为了新一代“蚁人”，老蚁人汉克.皮姆博士（迈克尔·道格拉斯 Michael Douglas 饰）成为了他的导师，可皮姆博士的女儿霍普（伊万杰琳·莉莉 Evangeline Lilly 饰）却并不看好他。但是危机迫在眉睫，为了对付强大的敌人拯救世界，斯科特不得不叫来自己的一帮狐朋狗友帮助自己完成一个不可能完成的任务。而取得任务的成功也是斯科特挽回女儿的关键，屌丝能否逆袭就看最后一击。,117分钟,2015-10-16(中国大陆)/2015-07-17(美国), 美国, 英语,374017.0,7.7,17.8%,50.3%,29.5%,2.1%,0.3%,66738,393.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2266823371.jpg
5,老炮儿,2015,管虎,管虎/董润年,冯小刚/许晴/张涵予/刘桦/李易峰/吴亦凡/梁静/白举纲/于和伟/连奕名/尚语贤/鲁诺/管宗祥/尹力/余皑磊/宁浩/江珊/张译/郭京飞/张鲁一/赵毅/梁天/张一山/王俊凯/王源/易烊千玺/巴图,剧情/犯罪,老炮儿在北京话中，专指提笼遛鸟，无所事事的老混混儿。,137分钟(中国大陆),2015-12-24(中国大陆)/2015-09-09(威尼斯电影节), 中国大陆, 汉语普通话,626100.0,7.6,24.2%,42.0%,27.7%,4.3%,1.8%,157055,5706.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2292976849.jpg
6,西游记之大圣归来,2015,田晓鹏,田晓鹏/刘虎/米粒/金冉/金成,张磊/林子杰/吴文伦/童自荣/刘九容/吴迪/刘北辰/赵乾景/周帅,剧情/动画/奇幻,五百年前，由石猴变化而成的齐天大圣孙悟空（张磊 配音）大闹天宫，最终被如来佛祖镇在了五行山下。此去经年，长安城内突然遭到山妖洗劫，童男童女哭声连连，命悬一线。危机时刻，自幼被行脚僧法明（吴文伦 配音）抚养长大的江流儿（林子杰 配音）救下了一个小女孩，结果反遭山妖追杀。经过一番追逐，江流儿无意中解除了孙悟空的封印，齐天大圣自然好好地将山妖教训了一番。因为封印未解开，悟空不得不护送江流儿和小女孩回长安，一路上又遭遇了猪八戒（刘九容 配音）和白龙马。,89分钟,2015-07-10(中国大陆), 中国大陆, 汉语普通话 / 粤语,563954.0,8.3,37.9%,41.8%,17.2%,2.2%,0.8%,166594,5031.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2255028780.jpg
7,小萝莉的猴神大叔 Bajrangi Bhaijaan,2015,卡比尔·汗,卡比尔·汗/维杰耶德拉·普拉萨德,萨尔曼·汗/哈莎莉·马洛特拉/卡琳娜·卡普尔/纳瓦祖丁·席迪圭/欧姆·普瑞/梅·维贾/席尔帕.舒克拉/拉杰什·沙玛/沙拉蒂·瑟斯纳/阿图·斯里瓦斯塔瓦/阿德南·萨米/马诺·巴克什,剧情/喜剧/动作,电影讲述了一个拥有虔诚宗教信仰的单纯印度男人帮助巴基斯坦哑女与父母重聚的故事。印度教教徒帕万（萨尔曼·汗 饰）在一次机缘巧合下结识了与母亲走失并有语言障碍的穆斯林小女孩沙希达（哈尔莎莉·马尔霍特 饰）。在得知沙希达是巴基斯坦人后，帕万决定帮助她回家，可在回巴基斯坦途中却四处碰壁，遭遇领事馆冲突、被旅游局欺骗之后，帕万立志将不惜一切代价尽其所能带沙希达回到自己的家乡与家人团聚。,159分钟,2018-03-02(中国大陆)/2015-07-17(印度), 印度, 印地语 / 乌尔都语,369191.0,8.4,41.7%,41.3%,14.9%,1.7%,0.3%,89228,2198.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2510956726.jpg
8,头脑特工队 Inside Out,2015,彼特·道格特/罗纳尔多·德尔·卡门,彼特·道格特/罗纳尔多·德尔·卡门/梅格·勒福夫/乔什·库雷/迈克尔·阿恩特/西蒙·里奇/鲍勃·彼德森/比尔·哈德尔/艾米·波勒,艾米·波勒/菲利丝·史密斯/理查德·坎德/比尔·哈德尔/刘易斯·布莱克/敏迪·卡灵/凯特林·迪亚斯/戴安·琳恩/凯尔·麦克拉克伦/波拉·庞德斯通/鲍比·莫尼汉/宝拉·佩尔/大卫·戈尔兹/弗兰克·奥兹/乔什·库雷/弗利/约翰·拉岑贝格/卡洛斯·阿拉斯拉奇/皮特·萨加尔/拉什达·琼斯/罗里·艾伦/约翰·齐甘/雪莉·琳恩/拉瑞恩·纽曼/帕丽斯·冯·戴克,喜剧/动画/冒险,可爱的小女孩莱莉（凯特林·迪亚斯 Kaitlyn Dias 配音）出生在明尼苏达州一个平凡的家庭中，从小她在父母的呵护下长大，脑海中保存着无数美好甜蜜的回忆。当然这些记忆还与几个莱莉未曾谋面的伙伴息息相关，他们就是人类的五种主要情绪：乐乐（艾米·波勒 Amy Poehl er 配音）、忧忧（菲利丝·史密斯 Phyllis Smith 配音）、怕怕（比尔·哈德尔 Bill Hader 配音）、厌厌（敏迪·卡灵 Mindy Kaling 配音）和怒怒（刘易斯·布莱克 Lewis Black 配音）。乐乐作为团队的领导，她协同其他伙伴致力于为小主人营造更多美好的珍贵回忆。某天，莱莉随同父母搬到了旧金山，肮脏逼仄的公寓、陌生的校园环境、逐渐失落的友情都让莱莉无所适从，她的负面情绪逐渐累积，内心美好的世界渐次崩塌。,95分钟,2015-10-06(中国大陆)/2015-06-19(美国), 美国, 英语,431567.0,8.7,49.7%,37.6%,11.6%,0.9%,0.2%,92231,1229.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2266293606.jpg
9,捉妖记,2015,许诚毅,袁锦麟,白百何/井柏然/姜武/金燕玲/钟汉良/曾志伟/吴君如/汤唯/姚晨/闫妮/保剑锋/王栎鑫/郭晓东/李菁菁/田雨橙/张悦轩,喜剧/奇幻/古装,不知何年，妖界大乱。新妖王对前代势力痛下杀手，更誓要对前妖后腹中的孩子斩尽杀绝。妖后一行躲避追杀来到地处大山深处的永宁村，偏巧遇到捉妖天师霍小岚（白百何 饰）和罗刚（姜武 饰）。一番混乱过后，妖后自知气数将尽，遂将妖蛋放入永宁村保长宋天荫（井柏然 饰）的腹中保存。是夜，小岚所属的天师堂掌门人葛千户（钟汉良 饰）率领手下血洗永宁村，天荫不得已随小岚逃亡。时机成熟，萝卜妖怪胡巴降生人间。在接下来的旅途中，小岚和天荫对彼此的了解不断加深，而胡巴也终于成为他们中间最不可割舍的重要存在。,118分钟,2015-07-16(中国大陆), 中国大陆 / 中国香港, 汉语普通话,428658.0,6.7,10.1%,31.9%,44.1%,10.2%,3.6%,100820,1469.0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2257944916.jpg
