,,,,,,,,,,,,,,,,,,,,
一出好戏,2018,黄渤,黄渤/张冀/郭俊立/查慕春/崔斯韦/邢爱娜/黄湛中,黄渤/舒淇/王宝强/张艺兴/于和伟/王迅/李勤勤/李又麟/宁浩/管虎/梁静/徐峥/陈德森/张磊,剧情/喜剧,/ / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /　/　/马/进/欠/下/债/务/，/与/远/房/表/弟/小/兴/在/底/层/社/会/摸/爬/滚/打/，/习/惯/性/的/买/彩/票/，/企/图/一/夜/暴/富/，/并/迎/娶/自/己/的/同/事/姗/姗/。/一/日/，/公/司/全/体/员/工/出/海/团/建/，/途/中/，/马/进/收/到/了/彩/票/中/头/奖/的/信/息/，/六/千/万/！/就/在/马/进/狂/喜/自/己/翻/身/的/日/子/终/于/到/来/之/际/，/一/场/突/如/其/来/的/滔/天/巨/浪/打/破/了/一/切/。/苏/醒/过/来/的/众/人/发/现/身/处/荒/岛/ /，/丧/失/了/一/切/与/外/界/的/联/系/…/…// / / / / / / / / / / / / / / / / / / / / / / /,134分钟,2018-08-10(中国大陆), 中国大陆, 汉语普通话,755027,7.1,12.0%,41.3%,37.9%,7.0%,1.8%,204852,5866,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2529571873.jpg
毒液：致命守护者 Venom,2018,鲁本·弗雷斯彻,杰夫·皮克纳/斯科特·罗森伯格/凯莉·马塞尔/托德·麦克法兰/大卫·米其林,汤姆·哈迪/米歇尔·威廉姆斯/里兹·阿迈德/斯科特·黑兹/里德·斯科特/珍妮·斯蕾特/梅洛拉·沃尔特斯/伍迪·哈里森/佩吉·陆/马尔科姆·C·默里/索佩·阿卢科/韦恩·佩雷/米歇尔·李/库尔特·岳/克里斯·奥哈拉/埃米里奥·瑞弗拉/阿里亚当娜·约瑟夫/袁之正/朴云龙/麦克·勃兰特/尼克·图恩/山姆·麦地那/迪塞尔·马德金斯/简·麦克尼尔/维克托·麦凯/马丁·巴特斯·布拉德福德/布兰顿·莫拉莱斯/马修·康威尔/斯坦·李/韦德·威廉姆斯/约瑟夫·阿梅/威廉·W·巴伯/玛塞拉·布拉吉奥/卡特·伯奇/克里斯蒂安·康佛瑞/詹姆斯·富尔特斯/丹妮拉·加斯基/约翰·盖蒂尔/艾米丽塔·T·冈萨雷斯/杰克·汉森/安东尼·B·哈里斯/卡茜·亨德利/罗恩·彼得·琼斯/霍梅洛·洛佩兹/万恩·姆约维奇,动作/科幻/惊悚,/ / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /　/　/艾/迪/（/汤/姆/·/哈/迪/ /T/o/m/ /H/a/r/d/y/ /饰/）/是/一/位/深/受/观/众/喜/爱/的/新/闻/记/者/，/和/女/友/安/妮/（/米/歇/尔/·/威/廉/姆/斯/ /M/i/c/h/e/l/l/e/ /W/i/l/l/i/a/m/s/ /饰/）/相/恋/多/年/，/彼/此/之/间/感/情/十/分/要/好/。/安/妮/是/一/名/律/师/，/接/手/了/生/命/基/金/会/的/案/件/，/在/女/友/的/邮/箱/里/，/艾/迪/发/现/了/基/金/会/老/板/德/雷/克/（/里/兹/·/阿/迈/德/ /R/i/z/ /A/h/m/e/d/ /饰/）/不/为/人/知/的/秘/密/。/为/此/，/艾/迪/不/仅/丢/了/工/作/，/女/友/也/离/他/而/去/。// / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /,112分钟,2018-11-09(中国大陆)/2018-10-05(美国), 美国 / 中国大陆, 英语 / 汉语普通话,674634,7.2,12.2%,42.9%,39.5%,4.8%,0.6%,171981,1567,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2537158013.jpg
小偷家族 万引き家族,2018,是枝裕和,是枝裕和,中川雅也/安藤樱/松冈茉优/城桧吏/佐佐木美结/树木希林/绪形直人/池松壮亮/森口瑶子/山田裕贵/片山萌美/柄本明/高良健吾/池胁千鹤/足立智充,剧情/家庭/犯罪,/ / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /　/　/东/京/的/都/市/丛/林/中/央/，/残/存/着/一/栋/古/旧/寒/酸/的/老/房/子/，/这/里/局/促/地/生/活/着/柴/田/一/家/五/口/人/。/在/工/地/当/临/时/工/的/男/人/阿/治/（/L/i/l/y/ /F/r/a/n/k/y/ /饰/）/经/常/带/着/儿/子/祥/太/（/城/桧/吏/ /饰/）/到/超/市/盗/窃/生/活/用/品/，/这/一/天/，/他/们/回/家/路/上/遇/到/了/独/自/待/在/户/外/的/四/岁/女/孩/由/里/（/佐/佐/木/美/结/ /饰/）/。/妻/子/信/代/（/安/藤/樱/ /饰/）/起/初/极/力/主/张/将/女/孩/送/回/父/母/身/边/，/但/当/看/到/女/孩/原/生/家/庭/的/状/况/时/又/心/生/恻/隐/。/原/本/柴/田/家/就/靠/着/老/奶/奶/初/枝/（/树/木/希/林/ /饰/）/的/养/老/金/度/日/，/而/今/多/了/一/口/人/，/自/然/更/艰/辛/了/几/分/。/包/括/信/代/的/妹/妹/亚/纪/（/松/冈/茉/优/ /饰/）/在/内/，/虽/然/一/家/人/游/走/在/贫/困/和/违/法/的/边/缘/，/但/笃/深/的/羁/绊/将/他/们/紧/紧/联/系/在/一/起/，/使/他/们/的/心/不/会/随/着/冰/冷/的/都/市/而/寒/冷/下/去/…/…// / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /,117分钟(中国大陆),2018-08-03(中国大陆)/2018-05-13(戛纳电影节)/2018-06-08(日本), 日本, 日语,606660,8.7,44.9%,44.6%,9.6%,0.7%,0.2%,152478,4021,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2530599636.jpg
,,,,,,,,,,,,,,,,,,,,
超时空同居,2018,苏伦,苏伦,雷佳音/佟丽娅/张衣/于和伟/王正佳/陶虹/李念/李光洁/杨玏/范明/徐峥/杨迪/方龄/陈昊,喜剧/爱情/奇幻,/ / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /　/　/生/活/在/2/0/1/8/年/的/大/龄/女/青/年/谷/小/焦/（/佟/丽/娅/ /饰/）/，/梦/想/能/够/嫁/一/个/能/买/得/起/她/幼/时/豪/宅/的/有/钱/人/，/却/屡/屡/受/挫/，/只/能/蜗/居/在/一/栋/老/居/民/楼/里/。/生/活/在/1/9/9/9/年/的/陆/鸣/（/雷/佳/音/ /饰/）/手/握/着/自/己/设/计/的/宏/伟/蓝/图/，/却/始/终/找/不/到/投/资/人/，/同/时/也/面/临/重/大/的/事/业/危/机/。/奇/怪/的/时/刻/来/临/了/，/失/意/的/两/个/人/回/到/家/中/居/然/发/生/了/惊/人/的/一/幕/，/同/一/扇/门/关/上/后/居/然/是/两/个/时/空/的/交/汇/点/，/两/个/不/同/时/空/的/人/相/遇/了/，/为/了/拯/救/自/己/的/未/来/，/两/人/共/商/大/计/，/开/启/了/幻/想/一/夜/暴/富/的/一/系/列/措/施/，/引/发/了/啼/笑/皆/非/的/连/锁/反/应/。/而/他/们/不/知/道/的/是/，/两/个/时/空/的/重/叠/是/人/为/的/操/控/，/他/们/每/走/一/步/都/会/引/发/不/可/预/知/的/结/果/，/更/要/命/的/事/，/本/来/只/是/视/对/方/为/赚/钱/拍/档/的/两/人/引/发/了/爱/的/火/花/…/…// / / / / / / / / / / / / / / / / / / / / / / /,101分钟,2018-05-18(中国大陆), 中国大陆, 汉语普通话,437843,6.8,8.2%,35.8%,47.4%,7.6%,1.1%,118839,1986,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2520331478.jpg
无问西东,2018,李芳芳,李芳芳,章子怡/黄晓明/张震/王力宏/陈楚生/铁政/祖峰/米雪/王盛德/韩童生/王鑫/郑铮/章泽天/黄梦莹/林美秀/保罗·菲利普·克拉克/胡家华/伊娜/吴谨言/纪帅/王天泽/伍麟凯/都金翰,剧情/爱情/战争,/ / / / / / / / / / / / / / / / / / / / / / / / / / / /,138分钟,2018-01-12(中国大陆), 中国大陆, 汉语普通话,608697,7.6,25.5%,39.2%,26.7%,6.6%,2.0%,177861,9481,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2507572275.jpg
邪不压正,2018,姜文,姜文/何冀平/李非/孙悦/张北海,彭于晏/廖凡/姜文/周韵/许晴/泽田谦也/安地/史航/李梦/丁嘉丽/陈曦,剧情/喜剧/动作,/ / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /　/　/七/七/事/变/前/夕/，/华/裔/青/年/小/亨/德/勒/（/彭/于/晏/ /饰/）/从/美/国/远/赴/重/洋/，/回/到/阔/别/十/数/年/之/久/的/北/平/从/医/。/然/而/他/真/正/的/名/字/叫/李/天/然/，/十/三/岁/那/年/曾/亲/眼/目/睹/师/父/一/家/遭/师/兄/朱/潜/龙/（/廖/凡/ /饰/）/和/日/本/人/根/本/一/郎/（/泽/田/谦/也/ /饰/）/灭/门/。/侥/幸/逃/生/的/天/然/被/美/国/人/亨/德/勒/医/生/送/往/大/洋/彼/岸/，/接/受/了/极/其/严/苛/的/训/练/，/而/今/他/怀/着/绝/密/的/任/务/踏/上/故/土/。/亨/德/勒/父/子/租/住/神/秘/男/子/蓝/青/峰/（/姜/文/ /饰/）/的/宅/子/，/蓝/是/当/年/辛/亥/革/命/的/参/与/者/，/他/与/现/为/警/察/局/长/的/朱/潜/龙/过/从/甚/密/，/却/又/以/杀/死/李/天/然/为/筹/码/，/暗/中/怂/恿/朱/除/掉/根/本/一/郎/。/复/仇/心/切/的/李/天/然/寻/找/到/了/仇/人/，/而/亨/德/勒/医/生/则/全/力/阻/止/养/子/冒/险/。/在/这/一/过/程/中/，/交/际/花/唐/凤/仪/（/许/晴/ /饰/）/与/裁/缝/关/巧/红/（/周/韵/ /饰/）/也/卷/入/了/男/人/的/勾/心/斗/角/的/漩/涡/里/。/直/到/七/七/事/变/爆/发/，/所/有/的/矛/盾/迎/来/了/决/断/的/时/刻/…/…// / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /,137分钟,2018-07-13(中国大陆), 中国大陆, 汉语普通话 / 英语 / 日语 / 法语,567477,7.0,14.0%,37.1%,38.3%,8.4%,2.3%,165404,4512,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2526297221.jpg
,,,,,,,,,,,,,,,,,,,,
蚁人2：黄蜂女现身 Ant-Man and the Wasp,2018,佩顿·里德,克里斯·麦克纳/埃里克·萨默斯/保罗·路德/安德鲁·贝伦/加百利·法拉利,保罗·路德/伊万杰琳·莉莉/迈克尔·佩纳/汉娜·乔恩-卡门/沃尔顿·戈金斯/鲍比·坎纳瓦尔/朱迪·格雷尔/T.I./大卫·达斯马齐连/艾比·莱德·弗特森/兰道尔·朴/米歇尔·菲佛/劳伦斯·菲什伯恩/迈克尔·道格拉斯/戈兰·卡斯蒂克/罗布·阿切尔/肖恩·克莱尔/本·戴维斯/迈克尔·瑟沃瑞斯/达克斯·格里芬/海莉·洛维特/玛德琳·麦格劳/蒂姆·海德克/布莱恩·赫斯基/朱莉娅·维拉/布莱恩·卢戈/托里·沃格尔/汤姆·夏普林/斯坦·李/约瑟夫·阿梅/安迪·阿尼斯/威廉·W·巴伯/玛塞拉·布拉吉奥/塞尔吉奥·布里奥内斯/乔·布卡罗三世/蒂莫西·卡尔/贾迈尔·钱伯斯/扎卡里·卡伯森/雅各布·埃文斯/米歇尔·方/盖尔·甘布尔/克里斯·加恩/约翰·盖蒂尔/杰克·汉森/卡茜·亨德利,动作/科幻/冒险,/ / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /　/　/由/于/在/“/内/战/”/中/站/到/了/美/国/队/长/一/方/，/蚁/人/斯/科/特/·/朗/（/保/罗/·/路/德/ /P/a/u/l/ /R/u/d/d/ /饰/）/遭/到/了/F/B/I/的/禁/足/惩/罚/。/眼/看/离/真/正/的/自/由/还/有/几/天/功/夫/，/偏/偏/麻/烦/找/上/门/来/。/原/来/初/代/蚁/人/汉/克/·/皮/姆/（/迈/克/尔/·/道/格/拉/斯/ /M/i/c/h/a/e/l/ /D/o/u/g/l/a/s/ /饰/）/通/过/研/究/发/现/，/他/的/妻/子/黄/蜂/女/（/米/歇/尔/·/菲/佛/ /M/i/c/h/e/l/l/e/ /P/f/e/i/f/f/e/r/ /饰/）/一/定/还/活/在/量/子/领/域/，/而/斯/科/特/是/能/够/将/妻/子/带/回/现/实/世/界/的/唯/一/希/望/。/不/由/分/说/，/汉/克/的/女/儿/霍/普/（/伊/万/杰/琳/·/莉/莉/ /N/i/c/o/l/e/ /L/i/l/l/y/ /饰/）/将/斯/科/特/带/出/房/间/。/此/后/不/久/，/他/们/不/仅/要/躲/避/F/B/I/的/纠/缠/，/更/要/提/防/来/自/神/秘/势/力/的/袭/击/，/而/“/幽/灵/”/的/出/现/更/将/斯/科/特/等/人/带/向/前/所/未/有/的/混/乱/当/中/。// / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /,118分钟,2018-08-24(中国大陆)/2018-07-06(美国), 美国, 英语,389274,7.3,12.1%,45.9%,38.1%,3.6%,0.4%,80972,481,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2529389608.jpg
