title, year, director, screenwriter, actors,type,summary, runtime, pubtime, country, language, scoreNum, score, star5, star4, star3, star2, star1, smallCommentNum, longCommentNum, posterurl
灰猎犬号 Greyhound,2020,亚伦·施耐德,汤姆·汉克斯/C·S·福里斯特,汤姆·汉克斯/斯蒂芬·格拉汉姆/伊丽莎白·苏/迈克尔·本茨/罗布·摩根/大卫·马尔登那多/吉米·坦顿/马特·赫尔姆/汤姆·布里特尼/曼努埃尔·加西亚-鲁尔福/特拉维斯·普里兹比尔斯基/杰里米·丹尼尔·麦登/戴文·德鲁伊/特拉维斯·昆汀/威尔·普伦/乔什·维金斯/迈克尔·卡罗洛/凯莱布·J·塔格德/格雷森·拉塞尔/杰夫·阿德勒/戴夫·戴维斯/李·诺里斯/切特·汉克斯/卡尔·格洛斯曼/马修·祖克/B·马丁·威廉姆斯/乔恩·多纳休/伊恩·詹姆斯·科里特/马克西米利安·奥辛斯基/托马斯·克莱舒曼,剧情/战争,"影片讲述二战初期，由37支盟军船只组成的护航舰队在欧内斯特·克劳斯（汤姆·汉克斯饰）舰长率领的一艘美国驱逐舰指挥下，穿越险恶的北大西洋，同时还要与德国U型潜艇狼群的周旋。",91分钟,2020-07-10(美国), 美国, 英语,55993,8.2,31.3%,51.2%,16.3%,1.0%,0.2%,15432,176,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2591289975.jpg
美人皮,2020,麦贯之,韩栋/张予曦/王艺曈/李若天/肖向飞/陶慧敏/温海波,韩栋/张予曦/王艺曈/李若天/肖向飞/陶慧敏/温海波,爱情/悬疑/奇幻,"由蒲松龄原著《聊斋志异.连城》篇改编。",97分钟,2020-07-17(中国大陆), 中国大陆, 汉语普通话,5714,5.5,3.5%,17.8%,40.9%,25.9%,11.9%,3651,35,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614313063.jpg
囧妈,2020,徐峥,何可可/布鲁鲁夫/何一禾/徐峥,徐峥/黄梅莹/袁泉/郭京飞/黄景瑜/贾冰/高以翔/沈腾/宋小宝/黄渤/欧丽娅/陈奇/吴云芳/张建亚/吴竞/张芝华/唐群/徐玉兰/徐幸/陆燕芳/张翠翠/脑门额尔德尼/朱莉娜/刘泽星/薛晴/韩昊霖/郑颖娴/弗索夫·谢尔盖/杨峥/陶桃/崔大笨/潘启言/王斌/张勤/黄梓凌/杜凡昕之/李顺怡/闫虹宇/刘子瑞/谢尔比纳·甘纳/斯莫林·伊凡/张岩/邵巨宝/谢荣珍,喜剧,"虽然有着诸多不舍，但是强势的老板徐伊万（徐峥 饰）还是和合作伙伴兼妻子张璐（袁泉 饰）结束了失败的婚姻。由于某种心理作祟，他试图阻挠前妻在海外重新创业。为了第一时间赶去美国，他回到母亲卢小花（黄梅莹 饰）的住处取护照，结果阴差阳错和母亲坐上了开往俄罗斯的K3次列车。如同身边的老年人一样，卢小花对儿子有着无休止的过度关爱与碎碎念。漫长的旅途中，伊万饱受折磨，他一边遥控表弟郭贴（郭京飞 饰）破坏张璐的生意，一边和母亲展开斗智斗勇的拉锯战。在这一过程中，母子二人冲突不断。伊万渐渐了解到母亲的爱情，同时他也开始反省自己的人生。",126分钟,2020-01-25(中国大陆网络), 中国大陆, 汉语普通话 / 俄语 / 英语,518429,5.9,5.7%,17.2%,50.1%,22.8%,4.2%,173322,2938,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2581835383.jpg
