'title', 'year', 'director', 'screenwriter', 'actors','type','summary', 'runtime', 'pubtime', 'country', 'language', 'scoreNum', 'score', 'star5', 'star4', 'star3', 'star2', 'star1', 'smallCommentNum', 'longCommentNum', 'posterurl'
暗黑波利3:废弃的建筑 Dwellers: The Curse of Pastor Stokes,2020,DeShon Hardy,DeShon Hardy,Tina Krause/Alan Bendich/Stacey Giambastiani/Tiffany Browne-Tavarez/Tina Jetter/Mickey Deymon/Stan J. Adams/Caitlin Clark/Jessica Francis/Sean A Kaufman/Travis Whitaker/Carrie Plumley/Juliana Castillo/Cali Lyn Brown/Gabriella Horbal,恐怖,"该《暗黑波利3:废弃的建筑》恐怖影片又是十一尾猎乔柯斯第三部续作(而十一尾猎乔柯斯第三部名称是：十一尾猎乔柯斯3：惊悚宫殿)，同时，又是暗黑波利系列中第三部。
                        ",,2020-06-20(美国), 美国, 英语,,,,,,,,2,0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2610630936.jpg
演员男友,2020,韦刚/周生培/邹健,韦刚,赵旭/袁远/陈湘颖,喜剧/爱情,"乡村少年韦小包在青梅竹马姜雅的陪同下，一起闯荡大城市，韦小包追求自己演员的梦想，两人一路遇到种种诱惑，坎坷挫折……
                        ",73分钟,2020-06-13(中国大陆), 中国大陆, 汉语普通话,,,,,,,,3,0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2580496460.jpg
Coppa Italia Semi-Finals 2nd Leg Juventus FC vs AC Milan,2020,毛里西奥·萨里,克里斯蒂亚诺·罗纳尔多/安特·雷比奇/迭戈·拉克索尔特/萨米·赫迪拉/米拉勒姆·皮亚尼奇/布莱斯·马图伊迪/费德里科·贝尔纳代斯基/胡安·吉列尔莫·夸德拉多/吉安路易吉·布冯/马泰斯·德里赫特/莱昂纳多·博努奇/阿莱士·桑德罗/罗德里戈·本坦库尔/保罗·迪巴拉,克里斯蒂亚诺·罗纳尔多/安特·雷比奇/迭戈·拉克索尔特/萨米·赫迪拉/米拉勒姆·皮亚尼奇/布莱斯·马图伊迪/费德里科·贝尔纳代斯基/胡安·吉列尔莫·夸德拉多/吉安路易吉·布冯/马泰斯·德里赫特/莱昂纳多·博努奇/阿莱士·桑德罗/罗德里戈·本坦库尔/保罗·迪巴拉,真人秀,,99分钟,2020-06-12(意大利), 意大利, 意大利语,,,,,,,,0,0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2612661102.jpg
剑安天下,2020,孔钦宁,黄涛,李延桢/胡文珊/严洪智/任春茹/杨景江,奇幻/古装,"上古时期，灵狐族人铸灵狐剑镇妖，却意外造出剑魔邪气，祸害世间，唯有百年一遇的灵狐少主可以持剑驱魔。时值嘉和二年，先帝暴崩，丞相乱政，诛杀百官，民不聊生。谏官之子夏影因此卷入到朝政风波，在与丞相贾冲对抗的过程中，他意外发现对方与剑魔有着千丝万缕的联系，而自己的身世也与灵狐族有关。为了平息纷乱，也为了弄清楚自己身世，夏影联合冷月教玲玥、公主等人一同诛杀邪恶安定天下。
                        ",84分钟,2020-06-11(中国大陆), 中国大陆, 汉语普通话,,,,,,,,0,0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2609772819.jpg
蛇来运转,2020,韩项远,韩项远/张栋/王贺/吴钥娴/房升学/焦雅婷,韩项远/张栋/王贺/吴钥娴/房升学/焦雅婷,喜剧,"以春运为背景，上演了售楼先生吴房（王贺 饰）偶遇买房主富二代韩小雨（韩项远 饰），从而一步高升，谁知幸福来也匆匆去也匆匆，金融危机突然降临，公司陷入金融危机，老板差点跳楼，而吴房还未拿到高额工资，在没钱置办孝敬父母家人礼物的情况下，吴房最后和农民工堂弟吴车（张栋 饰）结伴一起踏上回家之旅，为回家过年孝顺父母和家人团圆，他们被迫租了一辆破电瓶车上路，行程1300公里，不料回家路途中囧事不断，最终跋山涉水在大年三十赶到家中与家人团聚。
                        ",,2020-06-10(中国大陆), 中国大陆,,,,,,,,,1,1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2613309258.jpg
Legacy,2020,Michael Winnick,Robert Orr,路易·曼迪勒,动作/惊悚/冒险,"While on a hunting trip in the isolated wilderness, a father and his adopted teenage son are turned into the prey of unknown assailants. They are unexpectedly joined in their fight for survival by a stranger who reveals the disturbing truth about the son's biological father, an international crime lord, and why that crime lord has sent trained assassins to kill the teenager.
                        ",,2020-06-08(美国), 美国, 英语,,,,,,,,1,0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2607543763.jpg
格林伍德失踪 Missing in Greenwood,2020,Stephen Patrick Walker,Stephen Patrick Walker,Jeff Casserly/Bernie Coen/Michael Corcoran,喜剧/惊悚/恐怖,"
                            ",80分钟,2020-05(英国), 英国, 英语,,,,,,,,0,0,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2604047392.jpg
忏悔室 Confessional,2020,Brad T. Gottfred,Jennifer Wolfe,Lucas Adams/帕里斯·贝尔克/安娜丽莎·科克伦/杰西·加伯/布兰登·拉瑞昆特/瓦妮莎·马兰洛/马库斯·斯克里布纳/杰克·索特/米娅·西拉丽,,"After two mysterious deaths at a college on the same night, seven students, somehow connected, receive invitations to a confessional booth hidden on the campus. Their confessions slowly unveil the truth behind, not only the deaths, the booth as well. The dark, twisty, dialogue-driven and emotionally-complex mystery is entirely confined to the video confessional.
                        ",,2020-05-28(美国), 美国, 英语,,,,,,,,1,0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2604049097.jpg
奔跑吧，男孩 런 보이 런,2020,吴元宰,张东润/徐碧浚/韩利进,张东润/徐碧浚/韩利进,剧情,"张东润(《绿豆传》)将主演新片[奔跑吧，男孩](런보이런，暂译)，吴元宰执导。影片讲述想逃避过去但无法逃脱的人的故事。该片将于本月结束拍摄。
                        ",90分钟,2020-05-28(韩国), 韩国, 韩语,,,,,,,,1,1,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2603589993.jpg
地狱旅店3 Hotel Inferno 3: The Castle of Screams,2018,"Giulio De Santi, Tiziana Machella","Giulio De Santi, Tiziana Machella",,恐怖,"弗兰克（Frank），尽管您已检索到Fire元素，但您仍然被困在地狱般的Hotel Inferno酒店内。现在，您必须检索冰元素，并朝着复活迈出第二步。但是，正如您将发现的那样，在这段冷酷的旅程中，魔鬼不是您唯一的敌人，真相所带来的伤害要比您所面对的任何地狱的残酷都更大。为您的理智而战，为您的人性而战
                        ",,2020-05-28(英国互联网), 美国, 英语,,,,,,,,0,0,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2519860604.jpg
